municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y
Badajoz,18,18,4914.254786676754,18,18,10401.7981322,2.1166582897575354,0,badajoz,1.196824670617916,0.08458822185839836,1.0369552805447189,1.48778362831767,300.0,155505.148063854,4310470.30608031
MÃ©rida,14,14,4150.340886195773,14,14,38409.2889034,9.254490162760144,0,marida,,,,,,210319.21047598,4312875.91837714
Don Benito,3,3,4663.700704458815,3,3,8110.5638814,1.7390832721417455,0,don benito,1.2513780135959585,0.12168665292734199,1.0533626683316424,2.2314777561157255,300.0,252050.169299434,4315925.95363666
Almendralejo,9,9,19458.87872222596,9,9,21513.8872336,1.105607755755567,0,almendralejo,1.215100764229584,0.09353427294392297,1.0468475097020564,1.741122245892243,300.0,203721.564491683,4287243.42546669
Villanueva de la Serena,17,3,7697.864914958575,3,3,17137.7734996,2.2263021875452362,0,villanueva de la serena,1.265803567606359,0.14196490074335483,1.0477326652549228,2.555257425508873,300.0,257849.900671816,4317825.92358517
Zafra,5,5,9058.518751144427,9,9,13791.7663832,1.5225189417925076,1,zafra,1.2064912876461413,0.08678914692565501,1.0397174872842183,1.8370437431386974,300.0,201847.920808549,4258592.18314402
Montijo,4,4,13315.474135449896,4,4,26089.832051,1.9593618511518736,0,montijo,1.2630088529645727,0.1195750016794181,1.0426427221602754,2.073401151786002,300.0,186766.597483422,4313024.53822166
Villafranca de los Barros,1,1,9186.530554972544,2,1,9801.7286769,1.0669674060567358,0,villafranca de los barros,1.2177952598351183,0.08260776690451356,1.0483853480765282,1.6265864062968496,300.0,209247.25161592,4273648.10366513
Olivenza,13,13,2540.5276381197345,13,13,3165.8605649,1.2461429340099917,0,olivenza,1.2350512887487677,0.09137336715548998,1.0465945693256744,1.6437719244923006,300.0,143404.630412509,4289694.979563
Jerez de los Caballeros,8,8,22237.440080135053,5,5,32114.5209711,1.4441644746594844,1,jerez de los caballeros,1.2486547865055615,0.07153692788597842,1.1045590378833732,1.553900704015507,300.0,170493.580131816,4248300.57577643
Azuaga,10,10,30992.85369642065,10,10,39019.7364178,1.258991404922044,0,azuaga,1.225657280780136,0.07525378121879546,1.0443466361860712,1.7205867213151578,300.0,266049.886758429,4237928.18746664
Santos de Maimona. Los,9,9,10041.374625953798,9,9,13934.5366904,1.3877120622891215,0,los santos de maimona,1.2158289723287141,0.0838486873245952,1.0418830649077873,1.6374745753321327,300.0,204931.777645182,4261298.41113205
GuareÃ±a,3,3,21810.169684419063,3,3,37302.4275422,1.7103226651578245,0,guareaa,,,,,,231202.643063752,4305786.70120732
Fuente del Maestre,9,9,2027.5175782390493,9,9,2678.4297041,1.321038955640663,0,fuente del maestre,1.2131741065415775,0.1003071866186243,1.0468475097020564,2.0742357598578973,300.0,199582.916446467,4269969.0179768
Castuera,15,6,1944.4444874877684,15,6,2880.4820734,1.4813907478128094,0,castuera,1.2359630214073183,0.10788827344573283,1.0543162735037992,2.082644102287463,300.0,278869.083622126,4289076.83871633
Calamonte,14,14,2657.79725735668,14,14,2777.7687512,1.0451394452722997,0,calamonte,1.256110069899884,0.12275629639829522,1.0745051498535674,2.2306958115294693,300.0,206421.987731058,4310024.83393333
Llerena,10,10,1467.0347766759348,10,10,2715.1680274,1.850786409816497,0,llerena,1.2347934533411644,0.08152632959641237,1.040678485058342,1.6198838109199216,300.0,236143.714147699,4236514.258661
Puebla de la Calzada,4,4,12229.782355578029,4,4,26745.1021945,2.186882923742425,0,puebla de la calzada,1.276902934977819,0.14321058441651632,1.0634338344478078,2.3290917113668286,300.0,185643.111103803,4311193.18816829
San Vicente de AlcÃ¡ntara,39,39,10333.87112730529,39,39,14848.4705568,1.4368739820613534,0,san vicente de alcantara,,,,,,143733.891280018,4365090.26743444
Alburquerque,39,39,29579.85689793988,18,18,41640.5165257,1.4077321830654324,1,alburquerque,1.2739643960886569,0.09595099984697374,1.1069925945746049,1.601626317464872,300.0,154844.602490127,4349038.68188599
Aceuchal,9,9,15027.985760123383,9,9,19997.2444242,1.33066697981991,0,aceuchal,1.2310464796907106,0.10714291467178322,1.098858671329344,1.9219014987960097,300.0,196714.636682311,4283592.04238566
Oliva de la Frontera,8,8,28886.31930302103,5,5,49231.5832382,1.7043217836704863,1,oliva de la frontera,1.2635387890076841,0.07842770455598891,1.1005077872056068,1.7246634623864354,300.0,157364.687715438,4243838.30574681
Talavera la Real,4,4,2363.1286637128314,4,4,3209.9602731,1.358351884258671,0,talavera la real,1.2982014318145487,0.4035967627711822,1.039926743263506,6.722196033239698,300.0,173129.346153978,4310011.6819908
Cabeza del Buey,7,7,1195.377473526004,7,7,1539.6750519,1.2880241480194718,0,cabeza del buey,1.3041270415249557,0.13910819308863812,1.0887165719468772,2.3054320457036415,300.0,307047.81003993,4288277.01097829
Campanario,17,3,12384.691970797665,17,3,13191.1562309,1.0651178294949868,0,campanario,1.2857078596377178,0.14338969156990267,1.0477326652549228,2.610870336252171,300.0,273049.268621743,4304926.36582296
Fregenal de la Sierra,8,8,2641.970081170975,8,8,3426.4818357,1.296941952567954,0,fregenal de la sierra,1.216094421906721,0.06805572877233404,1.0535298566546418,1.5037694894047642,300.0,180193.808195302,4230892.23086217
Quintana de la Serena,6,6,1017.408236591049,6,6,2568.0310404,2.524091065946648,0,quintana de la serena,1.3609584371344612,0.18618099756937403,1.0432505567456347,2.4751463272044396,300.0,267899.56553466,4291626.71595212
