mun_key,name,prod,plant_id,dist_km,cost
badajoz,Badajoz,74167.0000,18,10.4018,6.3055
mrida,Mérida,28197.5000,14,38.4093,17.0403
don benito,Don Benito,17895.5000,3,8.1106,6.5855
almendralejo,Almendralejo,16794.0000,9,21.5139,11.1102
villanueva de la serena,Villanueva de la Serena,12919.0000,3,17.1378,9.7451
zafra,Zafra,8212.0000,9,13.7918,8.4075
montijo,Montijo,8118.0000,14,27.7232,13.3002
villafranca de los barros,Villafranca de los Barros,6678.0000,9,14.7853,8.7552
olivenza,Olivenza,5926.0000,13,3.1659,7.8708
jerez de los caballeros,Jerez de los Caballeros,5118.5000,5,32.1145,18.7128
azuaga,Azuaga,4150.5000,10,39.0197,20.1195
santos de maimona,Santos de Maimona. Los,4096.5000,9,13.9345,8.4574
guarea,Guareña,3656.0000,3,37.3024,16.8027
fuente del maestre,Fuente del Maestre,3481.0000,9,2.6784,4.5178
castuera,Castuera,3297.0000,6,2.8805,8.9930
calamonte,Calamonte,3089.0000,14,2.7778,4.5693
llerena,Llerena,2998.5000,10,2.7152,7.4129
puebla de la calzada,Puebla de la Calzada,2951.5000,18,29.8974,13.1289
san vicente de alcntara,San Vicente de Alcántara,2904.0000,39,14.8485,13.7675
alburquerque,Alburquerque,2852.0000,18,41.6405,17.2390
aceuchal,Aceuchal,2839.5000,9,19.9972,10.5794
oliva de la frontera,Oliva de la Frontera,2806.0000,5,49.2316,24.7038
talavera la real,Talavera la Real,2754.5000,18,22.2359,10.4474
cabeza del buey,Cabeza del Buey,2705.5000,7,1.5397,11.9830
campanario,Campanario,2683.5000,3,13.1912,8.3638
fregenal de la sierra,Fregenal de la Sierra,2618.5000,8,3.4265,10.0410
quintana de la serena,Quintana de la Serena,2534.5000,6,2.5680,8.8836
fuente de cantos,Fuente de Cantos,2519.5000,10,27.8074,16.1951
navalvillar de pela,Navalvillar de Pela,2393.5000,3,39.6785,17.6343
monesterio,Monesterio,2189.0000,10,34.1360,18.4101
santa amalia,Santa Amalia,2163.0000,3,21.1656,11.1548
santa marta,Santa Marta,2161.0000,9,32.7471,15.0418
arroyo de san servn,Arroyo de San Serván,2138.0000,14,10.3530,7.2206
valverde de legans,Valverde de Leganés,2077.5000,13,10.7148,10.5129
zalamea de la serena,Zalamea de la Serena,1989.0000,6,16.4782,13.7522
hornachos,Hornachos,1933.5000,1,16.6456,14.4372
barcarrota,Barcarrota,1849.0000,13,31.7811,17.8861
herrera del duque,Herrera del Duque,1844.0000,11,41.8672,22.8560
villanueva del fresno,Villanueva del Fresno,1839.0000,13,42.2612,21.5541
talarrubias,Talarrubias,1815.0000,11,16.7720,14.0727
zarza,Zarza. La,1781.5000,14,30.3860,14.2322
ribera del fresno,Ribera del Fresno,1733.0000,1,0.5992,8.8210
burguillos del cerro,Burguillos del Cerro,1643.0000,5,12.5574,11.8679
orellana la vieja,Orellana la Vieja,1507.5000,3,25.7330,12.7534
zahnos,Zah¡nos,1453.0000,13,48.8231,23.8508
puebla de sancho prez,Puebla de Sancho P‚rez,1449.5000,9,17.6909,9.7721
solana de los barros,Solana de los Barros,1413.0000,14,27.6408,13.2714
valdelacalzada,Valdelacalzada,1402.0000,18,25.4826,11.5837
lobn,Lobón,1361.5000,14,22.4072,11.4396
monterrubio de la serena,Monterrubio de la Serena,1355.0000,6,20.4832,15.1539
fuentes de len,Fuentes de León,1285.5000,8,17.3857,14.9268
garrovilla,Garrovilla. La,1253.0000,14,17.9550,9.8813
berlanga,Berlanga,1242.0000,10,28.2928,16.3650
higuera la real,Higuera la Real,1237.0000,5,60.8096,28.7561
villar del rey,Villar del Rey,1193.0000,18,27.7184,12.3663
granja de torrehermosa,Granja de Torrehermosa,1188.5000,10,56.1860,26.1276
medelln,Medell¡n,1168.5000,3,17.0511,9.7147
bienvenida,Bienvenida,1163.0000,9,43.1872,18.6959
codosera,Codosera. La,1161.0000,39,35.3945,20.9586
valencia del ventoso,Valencia del Ventoso,1124.5000,5,17.5058,13.5998
coronada,Coronada. La,1119.5000,3,5.4386,5.6504
torremeja,Torremej¡a,1114.0000,14,16.0682,9.2210
siruela,Siruela,1096.0000,11,3.6874,9.4931
higuera de vargas,Higuera de Vargas,1077.0000,13,34.6033,18.8739
segura de len,Segura de León,1070.0000,8,11.3611,12.8181
salvalen,Salvaleón,1024.5000,9,39.9102,17.5489
pueblonuevo del guadiana,Pueblonuevo del Guadiana,1009.0000,18,17.6427,8.8398
alange,Alange,1002.5000,14,24.9668,12.3355
puebla de obando,Puebla de Obando,994.0000,18,43.6671,17.9483
albuera,Albuera. La,993.0000,18,32.9084,14.1828
usagre,Usagre,978.0000,9,38.5057,17.0573
fuenlabrada de los montes,Fuenlabrada de los Montes,977.5000,11,33.6180,19.9688
alconchel,Alconchel,975.5000,13,22.2740,14.5586
oliva de mrida,Oliva de Mérida,937.5000,3,38.7077,17.2945
salvatierra de los barros,Salvatierra de los Barros,894.0000,9,26.7646,12.9479
villalba de los barros,Villalba de los Barros,827.0000,9,14.8896,8.7917
casas de don pedro,Casas de Don Pedro,816.0000,11,33.4893,19.9238
esparragalejo,Esparragalejo,790.0000,14,13.4995,8.3219
montemoln,Montemolín,767.0000,10,28.4239,16.4109
roca de la sierra,Roca de la Sierra. La,763.0000,18,34.5852,14.7697
campillo de llerena,Campillo de Llerena,759.0000,10,42.7350,21.4198
cabeza la vaca,Cabeza la Vaca,739.5000,8,23.3038,16.9981
villar de rena,Villar de Rena,728.5000,3,19.6757,10.6334
trujillanos,Trujillanos,719.5000,14,16.6223,9.4149
valle de la serena,Valle de la Serena,712.5000,3,33.0594,15.3177
