n_plants,total_cost_eur,mean_cost,median_cost,max_cost,cost_per_tonne,gini,n_municipalities
32,6436129.9533,15.0455,14.1811,49.1983,11.6738,0.2060,383
31,6376405.2564,15.0048,14.1188,49.1983,11.5655,0.2069,383
30,6353474.6835,14.8301,14.0669,49.1983,11.5239,0.2016,383
29,6331887.6551,14.7321,13.9694,49.1983,11.4847,0.1986,383
28,6312777.9278,14.7651,14.0727,49.1983,11.4501,0.1990,383
27,6295641.6965,14.6125,14.0727,49.1983,11.4190,0.1933,383
26,6279534.0184,14.5445,14.0100,49.1983,11.3898,0.1919,383
25,6264807.3293,14.5091,14.0100,49.1983,11.3631,0.1914,383
24,6263532.6651,14.5319,14.0727,49.1983,11.3607,0.1923,383
23,6270709.3388,14.6293,14.1053,49.1983,11.3738,0.1956,383
22,6281073.3939,14.6859,14.3773,49.1983,11.3926,0.1954,383
21,6294513.2865,14.7713,14.4265,49.1983,11.4169,0.2001,383
20,6308183.0054,14.7648,14.4287,48.3925,11.4417,0.2002,383
19,6326922.9211,14.8794,14.4776,48.3925,11.4757,0.2010,383
18,6345698.9635,14.9825,14.5361,48.3925,11.5098,0.2070,383
17,6378120.4487,15.0223,14.6303,48.3925,11.5686,0.2095,383
16,6426168.2525,15.1040,14.5979,48.3925,11.6557,0.2118,383
15,6474999.1415,15.2196,14.7021,48.3925,11.7443,0.2126,383
14,6527943.3515,15.6304,14.8462,48.3925,11.8403,0.2277,383
13,6619071.4666,15.7744,14.8924,48.3925,12.0056,0.2300,383
12,6710545.0352,16.1918,15.4964,48.3925,12.1715,0.2339,383
11,6813224.4355,16.6729,15.7828,48.3925,12.3578,0.2427,383
10,6929087.7936,17.0239,16.4205,48.3925,12.5679,0.2411,383
9,7058024.8976,17.4017,16.4418,49.3180,12.8018,0.2512,383
8,7199806.8649,18.1072,16.8111,63.3060,13.0590,0.2630,383
7,7375887.0887,18.3570,17.0900,62.8412,13.3783,0.2552,383
6,7554613.4933,18.9262,17.8446,62.8235,13.7025,0.2557,383
5,7875959.0252,19.2480,18.4453,62.8235,14.2854,0.2584,383
4,9404804.9363,21.7820,21.1340,62.5810,17.0584,0.2698,383
3,11135287.3834,23.3223,22.8775,62.2493,20.1971,0.2675,383
