n_plants,cost_per_tonne,max_cost,min_cost,total_cost,total_tkm,n_municipalities,eliminated
24,11.3369,49.1983,4.5178,6250391.6806,10129148.2186,383,
24,11.3369,49.1983,4.5178,6250391.6806,10129148.2186,383,Talavera la Real (T=0)
24,11.3369,49.1983,4.5178,6250391.6806,10129148.2186,383,Monterrubio de la Serena (T=0)
24,11.3405,49.1983,4.5178,6252370.9267,10113582.2769,383,Nuñomoral (T=0)
24,11.3405,49.1983,4.5178,6252370.9267,10113582.2769,383,Ceclavín (T=0)
24,11.3405,49.1983,4.5178,6252370.9267,10113582.2769,383,Cañaveral (T=0)
24,11.3406,49.1983,4.5178,6252426.1508,10114184.9909,383,Serradilla (T=0)
24,11.3406,49.1983,4.5178,6252426.1508,10114184.9909,383,Castañar de Ibor (T=0)
24,11.3406,49.1983,4.5178,6252426.1508,10114184.9909,383,Brozas (T=0)
