n_plants,total_cost_eur,mean_cost,median_cost,max_cost,cost_per_tonne,gini,n_municipalities
32,7386210.7990,17.1643,16.3162,60.9113,13.3971,0.2162,383
31,7335396.6976,17.1366,16.2059,60.9113,13.3049,0.2165,383
30,7315989.0057,16.9889,15.9591,60.9113,13.2697,0.2130,383
29,7298292.1107,16.9077,15.9227,60.9113,13.2376,0.2111,383
28,7285702.2818,16.7903,15.9227,60.9113,13.2148,0.2074,383
27,7273757.1980,16.7382,15.9220,60.9113,13.1931,0.2069,383
26,7263299.5675,16.7152,15.9220,60.9113,13.1741,0.2069,383
25,7261570.5122,16.7926,16.0453,60.9113,13.1710,0.2068,383
24,7279856.2266,16.9454,16.1671,60.9113,13.2041,0.2103,383
23,7300804.6799,17.0116,16.2539,60.9113,13.2421,0.2109,383
22,7321907.2179,17.1018,16.5458,60.9113,13.2804,0.2101,383
21,7344206.2389,17.2405,16.5465,60.9113,13.3209,0.2151,383
20,7368403.3437,17.2545,16.5491,60.1055,13.3648,0.2152,383
19,7400575.2268,17.4401,16.8414,60.1055,13.4231,0.2153,383
18,7437796.0791,17.6086,17.0340,60.1055,13.4906,0.2217,383
17,7495538.9541,17.7286,17.1252,60.1055,13.5954,0.2245,383
16,7573048.5766,17.8706,17.1627,60.1055,13.7359,0.2267,383
15,7658314.6948,18.0608,17.4275,60.1055,13.8906,0.2269,383
14,7743618.8541,18.6727,17.8084,60.1055,14.0453,0.2420,383
13,7888731.2342,19.3230,18.1435,60.1055,14.3085,0.2508,383
12,8037987.6369,19.5544,18.2478,60.1055,14.5792,0.2526,383
11,8202677.2111,20.2659,19.0753,60.1055,14.8780,0.2552,383
10,8379062.1793,20.7947,20.0984,60.1055,15.1979,0.2527,383
9,8565930.4788,21.3382,20.3109,62.7306,15.5368,0.2634,383
8,8774202.6509,22.3320,20.8277,80.6553,15.9146,0.2748,383
7,9039638.5254,23.1539,21.3948,80.6256,16.3960,0.2748,383
6,9307713.2768,23.5252,21.9391,80.1728,16.8823,0.2652,383
5,9759718.6162,24.0649,23.1151,80.1728,17.7021,0.2658,383
4,11776242.4135,27.3860,26.4701,79.9303,21.3597,0.2767,383
3,14051334.9177,29.4600,28.9703,79.5987,25.4862,0.2728,383
