mun_key,name,prod,plant_id,dist_km,cost
casas del monte,Casas del Monte,421.3000,22,9.5827,8.6768
valdeobispo,Valdeobispo,418.5500,29,19.0561,11.4649
holguera,Holguera,416.9000,29,25.9148,13.8655
mirabel,Mirabel,401.5000,29,21.9504,12.4780
aldea del cano,Aldea del Cano,396.5500,46,29.6193,13.4169
baos de montemayor,Baños de Montemayor,386.6500,22,38.3568,18.7477
navezuelas,Navezuelas,383.9000,45,33.3380,20.3990
casas de milln,Casas de Millán,379.5000,46,40.9803,17.3933
salorino,Salorino,378.9500,39,30.2064,18.9532
torrecilla de los ngeles,Torrecilla de los Ángeles,377.8500,31,20.0253,15.7297
acebo,Acebo,376.7500,31,27.6818,18.4095
santiago de alcntara,Santiago de Alcántara,376.7500,39,27.0105,17.8347
pasarn de la vera,Pasarón de la Vera,372.3500,22,13.1780,9.9351
villamiel,Villamiel,371.2500,31,38.4017,22.1614
villar del pedroso,Villar del Pedroso,370.1500,27,49.6095,23.1489
belvs de monroy,Belvís de Monroy,368.5000,27,11.4938,9.8084
casas del castaar,Casas del Castañar,351.4500,29,27.2620,14.3370
torre de santa mara,Torre de Santa María,347.6000,41,7.8643,11.5930
guijo de granadilla,Guijo de Granadilla,343.7500,22,25.5668,14.2712
torremenga,Torremenga,341.5500,22,7.0712,7.7978
zarza de montnchez,Zarza de Montánchez,340.4500,41,18.5585,15.3359
aceituna,Aceituna,339.3500,25,11.2633,12.6768
torrejn el rubio,Torrejón el Rubio,337.7000,29,40.8312,19.0862
torrequemada,Torrequemada,332.2000,46,27.3595,12.6260
jaraicejo,Jaraicejo,324.5000,27,29.0561,15.9552
valverde de la vera,Valverde de la Vera,323.4000,22,19.6465,12.1991
torre de don miguel,Torre de Don Miguel,312.4000,31,14.2101,13.6944
pozuelo de zarzn,Pozuelo de Zarzón,310.2000,25,11.7727,12.8551
villa del campo,Villa del Campo,305.2500,25,12.9002,13.2497
plasenzuela,Plasenzuela,295.9000,41,29.1741,19.0514
bohonal de ibor,Bohonal de Ibor,294.2500,27,19.9464,12.7668
berzocana,Berzocana,290.4000,45,18.5289,15.2158
casares de las hurdes,Casares de las Hurdes,290.4000,21,13.6926,16.3072
hernnprez,Hernán-Pérez,284.9000,31,14.1510,13.6737
villanueva de la sierra,Villanueva de la Sierra,282.7000,25,18.6722,15.2699
cadalso,Cadalso,278.3000,31,3.9093,10.0891
navalvillar de ibor,Navalvillar de Ibor,277.2000,27,48.2619,22.6772
arroyomolinos de la vera,Arroyomolinos de la Vera,273.3500,22,18.5665,11.8211
cedillo,Cedillo,273.3500,39,45.4721,24.2962
garganta,Garganta. La,269.5000,22,44.7002,20.9679
ibahernando,Ibahernando,268.4000,19,15.4882,13.6668
calzadilla,Calzadilla,266.7500,20,17.9964,13.4783
barrado,Barrado,262.3500,22,25.6866,14.3131
casillas de coria,Casillas de Coria,258.5000,20,17.4483,13.2865
villasbuenas de gata,Villasbuenas de Gata,250.8000,31,16.5321,14.5071
valdelacasa de tajo,Valdelacasa de Tajo,250.2500,27,41.0754,20.1620
abertura,Abertura,249.7000,36,15.5004,13.8990
palomero,Palomero,248.6000,22,37.3520,18.3960
serrejn,Serrejón,244.2000,27,13.6532,10.5642
hinojal,Hinojal,242.5500,46,26.5424,12.3400
gargantilla,Gargantilla,242.0000,22,4.7205,6.9750
santibez el alto,Santibáñez el Alto,239.8000,31,11.6499,12.7983
cabaas del castillo,Cabañas del Castillo,232.6500,45,33.4845,20.4502
robledillo de trujillo,Robledillo de Trujillo,231.0000,19,24.1111,16.6848
cabezabellosa,Cabezabellosa,229.9000,29,27.9040,14.5617
morcillo,Morcillo,229.9000,25,7.0003,11.1848
portaje,Portaje,228.2500,20,4.6164,8.7953
guijo de santa brbara,Guijo de Santa Bárbara,225.5000,22,8.1350,8.1701
robledollano,Robledollano,221.1000,27,41.0972,20.1696
puerto de santa cruz,Puerto de Santa Cruz,216.1500,19,16.2934,13.9486
herreruela,Herreruela,212.3000,39,41.7361,22.9886
valdastillas,Valdastillas,209.0000,22,19.2731,12.0684
cabrero,Cabrero,202.9500,29,28.8121,14.8796
herguijuela,Herguijuela,201.3000,19,17.7271,14.4504
talaveruela de la vera,Talaveruela de la Vera,200.7500,22,18.5210,11.8052
granja,Granja. La,198.5500,22,7.7760,8.0444
aldea del obispo,Aldea del Obispo. La,192.5000,19,15.8707,13.8007
casas de don gmez,Casas de Don Gómez,190.8500,20,11.1570,11.0846
aldehuela de jerte,Aldehuela de Jerte,185.9000,29,18.4301,11.2458
gordo,Gordo. El,185.9000,27,25.4810,14.7039
carrascalejo,Carrascalejo,185.3500,27,55.6994,25.2804
mata de alcntara,Mata de Alcántara,181.5000,46,53.3581,21.7255
fresnedoso de ibor,Fresnedoso de Ibor,180.9500,27,33.0917,17.3677
abada,Abadía,178.7500,22,5.1397,7.1217
santa cruz de paniagua,Santa Cruz de Paniagua,173.2500,25,22.3791,16.5673
villamesas,Villamesías,171.0500,36,14.9147,13.6940
santa marta de magasca,Santa Marta de Magasca,169.9500,46,40.5514,17.2431
santiago del campo,Santiago del Campo,168.8500,46,27.6035,12.7114
robledillo de la vera,Robledillo de la Vera,167.7500,22,7.3737,7.9036
salvatierra de santiago,Salvatierra de Santiago,166.1000,41,16.9232,14.7636
santa ana,Santa Ana,164.4500,41,23.8511,17.1883
peraleda de san romn,Peraleda de San Román,161.7000,27,29.9426,16.2655
oliva de plasencia,Oliva de Plasencia,157.3000,29,15.5325,10.2317
herrera de alcntara,Herrera de Alcántara,156.7500,39,47.1743,24.8920
santa cruz de la sierra,Santa Cruz de la Sierra,148.5000,19,15.0822,13.5247
portezuelo,Portezuelo,147.4000,20,15.4047,12.5712
alcollarn,Alcollarín,146.3000,36,16.9913,14.4208
viandar de la vera,Viandar de la Vera,146.3000,22,17.6388,11.4964
millanes,Millanes,141.3500,27,6.1734,7.9463
marchagaz,Marchagaz,136.4000,22,40.1780,19.3851
rebollar,Rebollar,130.3500,22,18.7922,11.9001
guijo de coria,Guijo de Coria,127.0500,25,13.8485,13.5816
valdemorales,Valdemorales,126.5000,36,18.0361,14.7865
villar de plasencia,Villar de Plasencia,125.9500,29,20.4697,11.9597
ladrillar,Ladrillar,125.4000,21,22.2623,19.3066
carbajo,Carbajo,124.8500,39,32.5025,19.7568
romangordo,Romangordo,123.2000,27,11.1645,9.6931
casas de don antonio,Casas de Don Antonio,117.1500,41,22.4438,16.6958
valdehncar,Valdehúncar,116.6000,27,9.9152,9.2559
conquista de la sierra,Conquista de la Sierra,115.5000,19,21.4418,15.7506
piedras albas,Piedras Albas,113.8500,20,42.2762,21.9763
collado,Collado,110.5500,22,7.9814,8.1163
botija,Botija,109.4500,46,43.3759,18.2317
hulaga,Huélaga,107.8000,20,9.5492,10.5218
cerezo,Cerezo,104.5000,22,30.4637,15.9851
descargamara,Descargamaría,104.5000,31,6.0756,10.8473
segura de toro,Segura de Toro,102.3000,22,6.4228,7.5708
toril,Toril,98.4500,27,10.2692,9.3798
mesas de ibor,Mesas de Ibor,95.1500,27,27.3883,15.3715
pescueza,Pescueza,86.3500,20,12.3150,11.4898
villa del rey,Villa del Rey,86.3500,46,57.7549,23.2644
jarilla,Jarilla,84.7000,22,13.8110,10.1567
casas de miravete,Casas de Miravete,79.7500,27,14.2107,10.7593
gargera,Gargüera,72.6000,29,25.1362,13.5930
robledillo de gata,Robledillo de Gata,68.2000,31,9.0349,11.8831
valdecaas de tajo,Valdecañas de Tajo,65.4500,27,36.1255,18.4295
pedroso de acim,Pedroso de Acim,63.2500,46,42.9388,18.0787
berrocalejo,Berrocalejo,57.7500,27,32.8937,17.2984
garvn,Garvín,57.7500,27,34.2801,17.7836
higuera,Higuera,55.0000,27,13.5535,10.5293
benquerencia,Benquerencia,53.9000,41,21.3633,16.3176
cachorrilla,Cachorrilla,51.1500,20,14.1785,12.1421
campillo de deleitosa,Campillo de Deleitosa,43.4500,27,41.0068,20.1379
ruanes,Ruanes,37.4000,41,20.7219,16.0931
