mun_key,name,prod,plant_id,dist_km,cost
badajoz,Badajoz,66750.3000,18,10.4018,6.4868
mrida,Mérida,25377.7500,14,38.4093,17.2781
don benito,Don Benito,16105.9500,3,8.1106,6.8314
almendralejo,Almendralejo,15114.6000,9,21.5139,11.3884
villanueva de la serena,Villanueva de la Serena,11627.1000,3,17.1378,9.9909
zafra,Zafra,7390.8000,9,13.7918,8.6856
montijo,Montijo,7306.2000,14,27.7232,13.5379
villafranca de los barros,Villafranca de los Barros,6010.2000,9,14.7853,9.0334
olivenza,Olivenza,5333.4000,13,3.1659,8.1978
jerez de los caballeros,Jerez de los Caballeros,4606.6500,5,32.1145,19.0182
azuaga,Azuaga,3735.4500,10,39.0197,20.4484
santos de maimona,Santos de Maimona. Los,3686.8500,9,13.9345,8.7356
guarea,Guareña,3290.4000,3,37.3024,17.0485
fuente del maestre,Fuente del Maestre,3132.9000,9,2.6784,4.7960
castuera,Castuera,2967.3000,6,2.8805,9.2589
calamonte,Calamonte,2780.1000,14,2.7778,4.8070
llerena,Llerena,2698.6500,10,2.7152,7.7418
puebla de la calzada,Puebla de la Calzada,2656.3500,18,29.8974,13.3103
san vicente de alcntara,San Vicente de Alcántara,2613.6000,39,14.8485,13.9272
alburquerque,Alburquerque,2566.8000,18,41.6405,17.4204
aceuchal,Aceuchal,2555.5500,9,19.9972,10.8575
oliva de la frontera,Oliva de la Frontera,2525.4000,5,49.2316,25.0092
talavera la real,Talavera la Real,2479.0500,18,22.2359,10.6288
cabeza del buey,Cabeza del Buey,2434.9500,7,1.5397,13.2157
campanario,Campanario,2415.1500,3,13.1912,8.6096
fregenal de la sierra,Fregenal de la Sierra,2356.6500,8,3.4265,9.9930
quintana de la serena,Quintana de la Serena,2281.0500,6,2.5680,9.1496
fuente de cantos,Fuente de Cantos,2267.5500,10,27.8074,16.5241
navalvillar de pela,Navalvillar de Pela,2154.1500,3,39.6785,17.8802
monesterio,Monesterio,1970.1000,10,34.1360,18.7391
santa amalia,Santa Amalia,1946.7000,3,21.1656,11.4006
santa marta,Santa Marta,1944.9000,9,32.7471,15.3200
arroyo de san servn,Arroyo de San Serván,1924.2000,14,10.3530,7.4584
valverde de legans,Valverde de Leganés,1869.7500,13,10.7148,10.8399
zalamea de la serena,Zalamea de la Serena,1790.1000,6,16.4782,14.0181
hornachos,Hornachos,1740.1500,1,16.6456,14.5506
barcarrota,Barcarrota,1664.1000,13,31.7811,18.2131
herrera del duque,Herrera del Duque,1659.6000,11,41.8672,23.0943
villanueva del fresno,Villanueva del Fresno,1655.1000,13,42.2612,21.8811
talarrubias,Talarrubias,1633.5000,11,16.7720,14.3110
zarza,Zarza. La,1603.3500,14,30.3860,14.4699
ribera del fresno,Ribera del Fresno,1559.7000,1,0.5992,8.9343
burguillos del cerro,Burguillos del Cerro,1478.7000,5,12.5574,12.1732
orellana la vieja,Orellana la Vieja,1356.7500,3,25.7330,12.9992
zahnos,Zah¡nos,1307.7000,13,48.8231,24.1778
puebla de sancho prez,Puebla de Sancho P‚rez,1304.5500,9,17.6909,10.0503
solana de los barros,Solana de los Barros,1271.7000,14,27.6408,13.5091
valdelacalzada,Valdelacalzada,1261.8000,18,25.4826,11.7651
lobn,Lobón,1225.3500,14,22.4072,11.6773
monterrubio de la serena,Monterrubio de la Serena,1219.5000,6,20.4832,15.4199
fuentes de len,Fuentes de León,1156.9500,8,17.3857,14.8787
garrovilla,Garrovilla. La,1127.7000,14,17.9550,10.1191
berlanga,Berlanga,1117.8000,10,28.2928,16.6940
higuera la real,Higuera la Real,1113.3000,5,60.8096,29.0615
villar del rey,Villar del Rey,1073.7000,18,27.7184,12.5477
granja de torrehermosa,Granja de Torrehermosa,1069.6500,10,56.1860,26.4566
medelln,Medell¡n,1051.6500,3,17.0511,9.9606
bienvenida,Bienvenida,1046.7000,9,43.1872,18.9740
codosera,Codosera. La,1044.9000,39,35.3945,21.1183
valencia del ventoso,Valencia del Ventoso,1012.0500,5,17.5058,13.9051
coronada,Coronada. La,1007.5500,3,5.4386,5.8962
torremeja,Torremej¡a,1002.6000,14,16.0682,9.4587
siruela,Siruela,986.4000,11,3.6874,9.7314
higuera de vargas,Higuera de Vargas,969.3000,13,34.6033,19.2009
segura de len,Segura de León,963.0000,8,11.3611,12.7701
salvalen,Salvaleón,922.0500,9,39.9102,17.8271
pueblonuevo del guadiana,Pueblonuevo del Guadiana,908.1000,18,17.6427,9.0211
alange,Alange,902.2500,14,24.9668,12.5732
puebla de obando,Puebla de Obando,894.6000,18,43.6671,18.1297
albuera,Albuera. La,893.7000,18,32.9084,14.3641
usagre,Usagre,880.2000,9,38.5057,17.3355
fuenlabrada de los montes,Fuenlabrada de los Montes,879.7500,11,33.6180,20.2071
alconchel,Alconchel,877.9500,13,22.2740,14.8856
oliva de mrida,Oliva de Mérida,843.7500,3,38.7077,17.5404
salvatierra de los barros,Salvatierra de los Barros,804.6000,9,26.7646,13.2261
villalba de los barros,Villalba de los Barros,744.3000,9,14.8896,9.0699
casas de don pedro,Casas de Don Pedro,734.4000,11,33.4893,20.1621
esparragalejo,Esparragalejo,711.0000,14,13.4995,8.5597
montemoln,Montemolín,690.3000,10,28.4239,16.7399
roca de la sierra,Roca de la Sierra. La,686.7000,18,34.5852,14.9510
campillo de llerena,Campillo de Llerena,683.1000,10,42.7350,21.7488
cabeza la vaca,Cabeza la Vaca,665.5500,8,23.3038,16.9500
villar de rena,Villar de Rena,655.6500,3,19.6757,10.8792
trujillanos,Trujillanos,647.5500,14,16.6223,9.6526
valle de la serena,Valle de la Serena,641.2500,3,33.0594,15.5635
parra,Parra. La,625.5000,9,19.4511,10.6664
mirandilla,Mirandilla,619.6500,14,18.4701,10.2993
haba,Haba. La,615.1500,3,11.6530,8.0713
villagonzalo,Villagonzalo,606.6000,14,35.5700,16.2843
feria,Feria,603.4500,9,14.7155,9.0089
medina de las torres,Medina de las Torres,602.1000,5,12.4674,12.1417
valdetorres,Valdetorres,598.9500,3,28.4562,13.9524
almendral,Almendral,588.1500,13,25.5615,16.0362
corte de peleas,Corte de Peleas,588.1500,9,35.6324,16.3298
cheles,Cheles,579.1500,13,30.6502,17.8173
puebla de alcocer,Puebla de Alcocer,572.4000,11,21.4161,15.9364
torre de miguel sesmero,Torre de Miguel Sesmero,565.6500,13,28.3359,17.0073
valdecaballeros,Valdecaballeros,548.1000,11,67.2698,31.9852
pealsordo,Peñalsordo,544.5000,7,18.0750,19.0031
valle de santa ana,Valle de Santa Ana,536.4000,9,49.4312,21.1594
valverde de mrida,Valverde de Mérida,521.5500,14,27.9147,13.6050
castilblanco,Castilblanco,517.9500,11,57.6631,28.6229
bodonal de la sierra,Bodonal de la Sierra,512.5500,8,7.2598,11.3347
nava de santiago,Nava de Santiago. La,490.0500,14,36.0383,16.4482
esparragosa de la serena,Esparragosa de la Serena,489.6000,6,12.6402,12.6748
maguilla,Maguilla,487.8000,10,26.0819,15.9202
calera de len,Calera de León,477.0000,8,32.7999,20.2737
ahillones,Ahillones,473.4000,10,20.3417,13.9111
higuera de la serena,Higuera de la Serena,469.3500,6,21.6640,15.8332
esparragosa de lares,Esparragosa de Lares,459.4500,11,25.6645,17.4234
torremayor,Torremayor,451.8000,14,23.1203,11.9269
villagarca de la torre,Villagarcía de la Torre,443.7000,9,47.3492,20.4307
cordobilla de lcara,Cordobilla de Lácara,435.1500,41,30.9552,19.5948
benquerencia de la serena,Benquerencia de la Serena,426.6000,6,9.6783,11.6382
llera,Llera,426.1500,1,23.1417,16.8242
san pedro de mrida,San Pedro de Mérida,396.0000,14,23.2628,11.9768
calzadilla de los barros,Calzadilla de los Barros,388.3500,9,32.4265,15.2078
puebla de la reina,Puebla de la Reina,387.0000,1,24.0399,17.1386
acedera,Acedera,369.4500,3,33.9107,15.8615
tliga,Táliga,360.4500,13,23.1371,15.1877
valencia del mombuey,Valencia del Mombuey,351.9000,5,69.1912,31.9950
puebla del maestre,Puebla del Maestre,349.6500,10,24.4543,15.3505
manchita,Manchita,343.8000,3,45.8323,20.0340
morera,Morera. La,338.4000,9,23.2961,12.0121
fuente del arco,Fuente del Arco,337.5000,10,16.8628,12.6935
don lvaro,Don Álvaro,334.3500,14,36.7864,16.7101
alconera,Alconera,331.6500,5,7.4421,10.3829
nogales,Nogales,325.8000,9,32.9618,15.3951
