n_plants,cost_per_tonne,max_cost,min_cost,total_cost,total_tkm,n_municipalities,eliminated
24,11.5746,49.4365,4.7546,5743304.8532,9102987.4595,383,
24,11.5746,49.4365,4.7546,5743304.8532,9102987.4595,383,Talavera la Real (T=0)
24,11.5746,49.4365,4.7546,5743304.8532,9102987.4595,383,Monterrubio de la Serena (T=0)
24,11.5745,49.4365,4.7546,5743245.4666,9102093.9368,383,Nuñomoral (T=0)
24,11.5745,49.4365,4.7546,5743245.4666,9102093.9368,383,Ceclavín (T=0)
24,11.5745,49.4365,4.7546,5743245.4666,9102093.9368,383,Cañaveral (T=0)
24,11.5746,49.4365,4.7546,5743279.5957,9102636.3794,383,Serradilla (T=0)
24,11.5746,49.4365,4.7546,5743279.5957,9102636.3794,383,Castañar de Ibor (T=0)
24,11.5746,49.4365,4.7546,5743279.5957,9102636.3794,383,Brozas (T=0)
