n_plants,cost_per_tonne,max_cost,min_cost,total_cost,total_tkm,n_municipalities,eliminated
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,Talavera la Real (T=0)
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,Monterrubio de la Serena (T=0)
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,Ceclavín (T=0)
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,Cañaveral (T=0)
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,Serradilla (T=0)
26,13.1193,60.9113,4.8471,7233098.2012,9880519.3388,383,Castañar de Ibor (T=0)
