n_plants,cost_per_tonne,max_cost,min_cost,total_cost,total_tkm,n_municipalities,eliminated
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Talavera la Real (T=0)
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Monterrubio de la Serena (T=0)
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Ceclavín (T=0)
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Cañaveral (T=0)
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Serradilla (T=0)
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Castañar de Ibor (T=0)
25,11.1038,48.9538,4.3145,6734052.6518,11031945.8916,383,Brozas (T=0)
