n_plants,total_cost_eur,mean_cost,median_cost,max_cost,cost_per_tonne,gini,n_municipalities
32,6919958.2171,14.6956,13.9066,48.9538,11.4103,0.2053,383
31,6857852.0877,14.6578,13.8982,48.9538,11.3079,0.2061,383
30,6836154.5231,14.5095,13.8146,48.9538,11.2722,0.2018,383
29,6815929.0414,14.4274,13.7249,48.9538,11.2388,0.1995,383
28,6797533.8091,14.4635,13.8282,48.9538,11.2085,0.1998,383
27,6781988.8187,14.3397,13.8282,48.9538,11.1828,0.1953,383
26,6767338.0486,14.2839,13.7376,48.9538,11.1587,0.1945,383
25,6753974.1292,14.2557,13.7376,48.9538,11.1366,0.1943,383
24,6754977.4152,14.2820,13.8132,48.9538,11.1383,0.1952,383
23,6765245.9059,14.3341,13.9203,48.9538,11.1552,0.1954,383
22,6776057.4926,14.4422,14.1036,48.9538,11.1731,0.1986,383
21,6791205.2238,14.5285,14.1414,48.9538,11.1980,0.2033,383
20,6808559.5278,14.5276,14.1670,48.1026,11.2266,0.2034,383
19,6826500.4911,14.6310,14.2398,48.1026,11.2562,0.2043,383
18,6846232.0760,14.7306,14.3404,48.1026,11.2888,0.2103,383
17,6882015.9068,14.7706,14.4033,48.1026,11.3478,0.2128,383
16,6934875.2061,14.8516,14.3464,48.1026,11.4349,0.2152,383
15,6990958.2844,14.9704,14.4412,48.1026,11.5274,0.2159,383
14,7049728.3357,15.3829,14.5825,48.1026,11.6243,0.2310,383
13,7154762.3012,15.8125,14.7365,48.1026,11.7975,0.2411,383
12,7260735.1760,15.9636,14.8332,48.1026,11.9722,0.2429,383
11,7379331.0424,16.4623,15.5064,48.1026,12.1678,0.2456,383
10,7510876.8231,16.8238,16.2218,48.1026,12.3847,0.2439,383
9,7654589.7046,17.2046,16.2774,49.1807,12.6217,0.2540,383
8,7814143.1026,17.9200,16.6467,63.1564,12.8848,0.2659,383
7,8017433.1132,18.1813,16.9020,62.7193,13.2200,0.2578,383
6,8220495.8482,18.7645,17.6534,62.7027,13.5548,0.2581,383
5,8582072.1718,19.1100,18.3245,62.7027,14.1510,0.2603,383
4,10276105.2021,21.6578,20.9881,62.4754,16.9443,0.2716,383
3,12191701.0283,23.2183,22.7876,62.1651,20.1029,0.2688,383
