distribution,params,loglik,wasserstein1,anderson_darling,ks_stat,ks_p,s_param_used,pred_misalloc_mean,pred_misalloc_ci_lo,pred_misalloc_ci_hi,observed_in_ci
Lognormal,"(np.float64(0.5356), 1.0, np.float64(0.3028))",36117.51157021739,0.04643357455292511,1283.859724697395,0.0796404276765601,0.0,0.5356306223020267,82.45316954200726,82.2116846528179,82.6897209701653,False
Inverse Weibull (Frechet),"(np.float64(2.0609), 1.0, np.float64(0.2369))",37187.42723884202,0.052848049868537576,925.1249579733994,0.06289280114177104,5.8330220859076e-311,0.2030921111256884,38.2928375,37.3799,39.06815,False
Generalized Gamma,"(np.float64(21.0438), np.float64(0.3855), 1.0, np.float64(0.0001))",32370.656170192142,0.05402576703178836,1981.4263907012937,0.0996257121561247,0.0,0.14173012335733567,35.30255,34.2380875,35.808075,False
Gamma,"(2.9495, 1.0, np.float64(0.1228))",23513.2148012628,0.06739891636670059,3310.7868274217035,0.13086001716508855,0.0,0.14684723583130888,36.9808625,36.410675000000005,37.6861375,False
Weibull,"(np.float64(1.432), 1.0, np.float64(0.4044))",12604.382356901862,0.08655042718093127,5583.98411244755,0.166143468344966,0.0,0.17838515466036226,42.758137500000004,42.219425,43.9221375,False
