distribution,params,loglik,wasserstein1,anderson_darling,ks_stat,ks_p,s_param_used,pred_misalloc_mean,pred_misalloc_ci_lo,pred_misalloc_ci_hi,observed_in_ci
Inverse Weibull (Frechet),"(np.float64(3.5448), np.float64(0.8547), np.float64(0.3915))",41435.41543421851,0.025628265324669233,333.71369096545095,0.038527930575595115,6.680313800325928e-117,0.14758742206005146,33.0028125,32.458625,33.774075,False
Lognormal,"(np.float64(0.5975), 1.0304, np.float64(0.2677))",37365.33754773582,0.041814547597215576,1008.0771317984327,0.06938831167896709,0.0,0.16875727270322924,41.60537784435461,41.19783834473778,41.93103600751773,False
Generalized Gamma,"(np.float64(10.9558), np.float64(0.4861), np.float64(1.0329), np.float64(0.0021))",33380.94174905897,0.04948826048550037,1544.1765162337397,0.08254155659862439,0.0,0.13614965322239594,34.5943875,34.186225,37.91505,False
Gamma,"(np.float64(2.4419), np.float64(1.033), np.float64(0.1348))",26154.591912355987,0.0635135856290615,2910.8558053543093,0.12314257930426664,0.0,0.14550040070601947,36.5343125,36.250825,86.9751125,True
Weibull,"(np.float64(0.5006), np.float64(1.0331), np.float64(0.0748))",-63819.49929720951,0.17983378752421775,69646.66784626662,0.663253663868769,0.0,0.19111658032709106,31.625225,30.7559625,40.7361875,False
