distribution,params,loglik,wasserstein1,anderson_darling,ks_stat,ks_p,s_param_used,pred_misalloc_mean,pred_misalloc_ci_lo,pred_misalloc_ci_hi,observed_in_ci
Inverse Weibull (Frechet),"(np.float64(2.4586), np.float64(0.6945), np.float64(0.6853))",-203.91681803050977,0.04864158507613091,0.44921090186016954,0.031263455315920285,0.8366129354601922,0.32299209533035583,56.8043,53.682137499999996,59.5206625,False
Lognormal,"(np.float64(0.8194), 0.9939, np.float64(0.5062))",-206.43840919045263,0.06737368042544353,0.6154076420667707,0.03835742196872005,0.6120363166024054,0.3255026155192394,63.48171971675659,58.04721025044037,67.66726021415687,True
Generalized Gamma,"(np.float64(10.1506), np.float64(0.3548), np.float64(1.0164), np.float64(0.0008))",-211.54546695576806,0.08734278119539786,1.338238859973501,0.048282384609642626,0.3233943550979247,0.3073587644346683,58.318349999999995,55.113162499999994,63.42835000000001,True
Gamma,"(np.float64(0.7351), np.float64(1.0268), np.float64(0.8804))",-264.32123567752245,0.16236655526496838,22.26716401760865,0.1852467842240894,5.60899748613616e-12,0.36361989992188987,64.6694125,57.4065125,72.90133749999998,True
Weibull,"(np.float64(0.6798), np.float64(1.0268), np.float64(0.2894))",-352.4815358786268,0.3106078258560679,119.0746830353109,0.38563164466810596,9.198857137102407e-52,0.2981268405569861,52.23609999999999,51.478125000000006,70.03202499999999,True
