plant_id,T_i,TP,FP,FN,Prec_i,Rec_i,C_i,U_i,D90_i,Leak_dg_i,tkm_real,tkm_theo,IET_i,scenario
1,15721.5,15721.5,0.0,0.0,1.0,1.0,13.900284005979074,,32.74726588907403,0.0,242573.54,242573.54,100.0,S1_full
3,47300.5,47300.5,0.0,0.0,1.0,1.0,11.369840065115591,,31.84472791519438,0.0,748411.475,748411.475,100.0,S1_full
4,17133.0,17133.0,0.0,0.0,1.0,1.0,14.461589622366194,,26.86704842428901,0.0,373545.875,373545.875,100.0,S1_full
5,15780.0,15780.0,0.0,0.0,1.0,1.0,18.28855608365019,,57.55339351966362,0.0,504965.98000000004,504965.98000000004,100.0,S1_full
6,10654.0,10654.0,0.0,0.0,1.0,1.0,12.034656936361932,,23.959539708265805,0.0,106303.225,106303.225,100.0,S1_full
7,3605.5,3605.5,0.0,0.0,1.0,1.0,13.35391901261961,,18.420035790980673,0.0,19703.895,19703.895,100.0,S1_full
8,6813.0,6813.0,0.0,0.0,1.0,1.0,13.066441362101862,,26.56943678613628,0.0,82240.42,82240.42,100.0,S1_full
9,42152.5,42152.5,0.0,0.0,1.0,1.0,10.70516695332424,,23.297028829353525,0.0,781290.035,781290.035,100.0,S1_full
10,18102.5,18102.5,0.0,0.0,1.0,1.0,16.00599944759011,,40.91201344332417,0.0,483370.34500000003,483370.34500000003,100.0,S1_full
11,10652.0,10652.0,0.0,0.0,1.0,1.0,19.9069001126549,,65.49809286618826,0.0,356209.43,356209.43,100.0,S1_full
13,18547.5,18547.5,0.0,0.0,1.0,1.0,14.352079255964416,,44.323450789793434,0.0,411615.495,411615.495,100.0,S1_full
14,45466.5,45466.5,0.0,0.0,1.0,1.0,14.859163889896955,,38.41,0.0,1406887.7599999998,1406887.7599999998,100.0,S1_full
16,2847.5,2847.5,0.0,0.0,1.0,1.0,22.77125548726954,,44.02,0.0,68164.16,68164.16,100.0,S1_full
18,82380.0,82380.0,0.0,0.0,1.0,1.0,7.245807356154407,,17.538010535277216,0.0,1046485.91,1046485.91,100.0,S1_full
19,9455.0,9455.0,0.0,0.0,1.0,1.0,14.291275515600212,,26.57865125240852,0.0,148019.06,148019.06,100.0,S1_full
20,11662.5,11662.5,0.0,0.0,1.0,1.0,11.056411146838157,,9.428423464711274,0.0,77541.015,77541.015,100.0,S1_full
21,4430.5,4430.5,0.0,0.0,1.0,1.0,16.876418011511117,,38.13274797522631,0.0,94922.59,94922.59,100.0,S1_full
22,25112.5,25112.5,0.0,0.0,1.0,1.0,14.013048083623692,,30.339165894346618,0.0,373056.56,373056.56,100.0,S1_full
24,2261.0,2261.0,0.0,0.0,1.0,1.0,21.329099955771785,,18.470472143531634,0.0,21257.81,21257.81,100.0,S1_full
25,5538.0,5538.0,0.0,0.0,1.0,1.0,11.619492596605273,,17.588249664429533,0.0,47164.085,47164.085,100.0,S1_full
27,19852.5,19852.5,0.0,0.0,1.0,1.0,11.85365747386979,,25.650363748458698,0.0,195149.01,195149.01,100.0,S1_full
29,28180.0,28180.0,0.0,0.0,1.0,1.0,8.726001596877218,,21.03112487611497,0.0,275126.97,275126.97,100.0,S1_full
30,1880.0,1880.0,0.0,0.0,1.0,1.0,26.14201595744681,,25.373821138211383,0.0,24252.89,24252.89,100.0,S1_full
31,7389.5,7389.5,0.0,0.0,1.0,1.0,19.491429731375604,,47.81885714285715,0.0,225430.565,225430.565,100.0,S1_full
33,2052.0,2052.0,0.0,0.0,1.0,1.0,24.842811890838206,,31.43,0.0,29287.989999999998,29287.989999999998,100.0,S1_full
36,7623.5,7623.5,0.0,0.0,1.0,1.0,18.119047681511116,,14.309695749440715,0.0,44224.39,44224.39,100.0,S1_full
39,8771.0,8771.0,0.0,0.0,1.0,1.0,14.378141032949491,,36.74019794253282,0.0,144499.07,144499.07,100.0,S1_full
41,7535.0,7535.0,0.0,0.0,1.0,1.0,13.703006635700067,,28.649229422066554,0.0,105594.43000000001,105594.43000000001,99.99999999999999,S1_full
42,2029.0,2029.0,0.0,0.0,1.0,1.0,25.89354361754559,,40.76381578947369,0.0,33785.75,33785.75,100.0,S1_full
44,4186.5,4186.5,0.0,0.0,1.0,1.0,15.826323898244356,,32.90970967741935,0.0,70800.58499999999,70800.58499999999,100.0,S1_full
45,8316.5,8316.5,0.0,0.0,1.0,1.0,17.874023928335237,,40.04575655682582,0.0,218184.045,218184.045,100.0,S1_full
46,57774.0,57774.0,0.0,0.0,1.0,1.0,7.924741146536504,,21.964188560799816,0.0,732226.265,732226.265,100.0,S1_full
