plant_id,T_i,TP,FP,FN,Prec_i,Rec_i,C_i,U_i,D90_i,Leak_dg_i,tkm_real,tkm_theo,IET_i,scenario
-4,1479.018110259877,0.0,1479.018110259877,0.0,0.0,0.0,29.717310590091234,,25.402895441753042,0.0,9813.669178204602,0.0,0.0,S2_full
-3,961.8472011634846,0.0,961.8472011634846,0.0,0.0,0.0,50.54080972550986,,45.10490215188791,0.0,23645.399596030464,0.0,0.0,S2_full
-2,3612.8941362115966,0.0,3612.8941362115966,0.0,0.0,0.0,15.283130862680656,,21.186880900406482,0.0,39862.345511598185,0.0,0.0,S2_full
-1,1802.0490437858225,0.0,1802.0490437858225,0.0,0.0,0.0,25.344671502059793,,13.46184301367229,0.0,14404.639657221705,0.0,0.0,S2_full
1,15517.380002,15517.380002,0.0,204.11999799999998,1.0,0.9870165061857965,12.54503536134516,,32.75344862551221,0.2164287770315116,239655.99503878,242573.54,101.21738868278588,S2_full
3,54428.84521466568,47300.5,7128.345214665676,0.0,0.8690336863376082,1.0,11.003540941713801,,38.65667757027469,0.0,1148814.4965776925,748411.475,65.14641634741821,S2_full
4,15745.2799892,15745.2799892,0.0,1387.7200107999997,1.0,0.9190030928150353,15.025250504661843,,27.06659757496043,0.6210348236525713,356769.004614456,373545.875,104.70244616784298,S2_full
5,15685.959999800001,15685.959999800001,0.0,94.04000020000001,1.0,0.9940405576552598,18.312716958640422,,57.60594716335444,0.1722343978283552,502238.590394532,504965.98000000004,100.54304660327387,S2_full
6,9916.0999663,9916.0999663,0.0,737.9000337,1.0,0.9307396251454852,12.00307161762879,,24.74700537098059,0.4767126743588961,102969.240702541,106303.225,103.23784488912592,S2_full
7,3599.7799999999997,3599.7799999999997,0.0,5.72,1.0,0.9984135348772709,13.375485037974544,,18.422249835182157,0.02453695376146362,19682.5158,19703.895,100.10862026083068,S2_full
8,6806.9400000000005,6806.9400000000005,0.0,6.0600000000000005,1.0,0.9991105239982386,13.065366966457535,,26.578506498621508,0.031193375069874782,82141.7374,82240.42,100.12013697679592,S2_full
9,41954.0999927,41954.0999927,0.0,198.4000073,1.0,0.9952932801779254,10.71725972162854,,23.29858838901325,0.08933156351934546,777704.5107871371,781290.035,100.46103940032879,S2_full
10,18002.8999979,18002.8999979,0.0,99.60000210000001,1.0,0.9944979973981495,16.055300472458075,,40.923169635703495,0.1446329062364301,482319.374194288,483370.34500000003,100.21789935506274,S2_full
11,8678.1999967,8678.1999967,0.0,1973.8000033,1.0,0.8147014642039053,21.21482016113075,,67.13603914930222,8.044460009447038,312143.921887867,356209.43,114.11704826594794,S2_full
13,18129.6400043,18129.6400043,0.0,417.8599957,1.0,0.9774708184014018,14.406222219929262,,44.48774832518567,0.5376513299603543,401429.250121137,411615.495,102.53749443414728,S2_full
14,44761.2400015,44761.2400015,0.0,705.2599984999999,1.0,0.9844883595944267,14.879212430502307,,38.41,0.0073946958659232565,1382444.47001489,1406887.7599999998,101.76812092747902,S2_full
16,2842.9399997,2842.9399997,0.0,4.5600003,1.0,0.9983985951536436,22.787054627290416,,44.02,0.0032606458857305995,67963.42878679401,68164.16,100.29535180432948,S2_full
18,83091.71725564863,81954.58725564863,1137.1299999999999,425.4127443513593,0.9863147611151014,0.9948359705711173,6.602413536356831,,19.889515869000512,0.15461902965503616,906673.1165371425,1046485.91,115.42041899255209,S2_full
19,9878.458574594088,9375.034955555564,503.42361903852395,79.96504444443704,0.9490382416206863,0.9915425653681187,13.417857742633442,,25.3238802786949,0.11895885136670814,142274.22131753087,148019.06,104.03786338049791,S2_full
20,8948.688259926048,8266.856425518743,681.8318344073048,3395.643574481257,0.923806504975631,0.7088408510627003,11.247026983199111,,17.524584202140453,1.6343356920887322,68354.77825530569,77541.015,113.43905573123745,S2_full
21,4234.82,4234.82,0.0,195.68,1.0,0.9558334273783997,17.297995443606855,,38.57128,0.3523488519666343,90776.3144699862,94922.59,104.56757421164603,S2_full
