plant_id,T_i,TP,FP,FN,Prec_i,Rec_i,C_i,U_i,D90_i,Leak_dg_i,tkm_real,tkm_theo,IET_i,scenario
1,5472.0,5472.0,0.0,10249.5,1.0,0.3480583913748688,12.807822304459066,,23.379397421140013,0.0,65610.2577,242573.54,369.71892582583166,S3_full
3,51344.0,45497.5,5846.5,0.0,0.8861308039887815,1.0,9.903820876830789,,37.55118414281049,0.0,903212.08025,734358.62,81.30522565605378,S3_full
5,13899.0,13899.0,0.0,1881.0,1.0,0.8807984790874525,19.233059310022306,,58.63088558001485,0.0,467018.84765,504965.98000000004,108.12539633912996,S3_full
6,11600.5,9941.5,1659.0,712.5,0.8569889228912547,0.9331237094049183,11.75020752984785,,21.23006465227818,0.0,124801.38660000001,106303.225,85.17791981006722,S3_full
7,3605.5,3605.5,0.0,0.0,1.0,1.0,13.35649449452226,,18.415391052254833,0.0,19700.26065,19703.895,100.01844823306945,S3_full
8,6813.0,6813.0,0.0,0.0,1.0,1.0,13.066075223836783,,26.57189459629776,0.0,82229.5478,82240.42,100.01322176795432,S3_full
9,55324.5,36837.0,18487.5,0.0,0.6658352086327034,1.0,10.583272017822122,,32.937555834324215,0.0,1106952.8442,698873.28,63.134873690584264,S3_full
10,19291.0,18102.5,1188.5,0.0,0.9383909595147997,1.0,16.44355686071225,,42.52825390365618,0.0,550124.70255,483370.34500000003,87.86559533855275,S3_full
11,10652.0,10652.0,0.0,0.0,1.0,1.0,19.90650953342095,,65.49850132545377,0.0,356202.9775,356209.43,100.00181146717114,S3_full
13,17523.0,17523.0,0.0,1024.5,1.0,0.9447634452082491,14.171827361182446,,44.73367289185905,0.0,370942.09215,411615.495,110.96489282579252,S3_full
14,54903.5,41845.0,13058.5,0.0,0.7621554181427413,1.0,14.189345410584025,,38.4093,0.0,1661581.1340500002,1309783.6949999998,78.82754974519264,S3_full
18,89079.0,81617.0,7462.0,0.0,0.9162316595381628,1.0,7.492889136047777,,27.972971552660155,0.0,1228787.75615,1020093.74,83.01626826069023,S3_full
19,9510.5,8634.5,876.0,154.5,0.9078912780610904,0.9824212083285926,13.917448409652488,,23.54249673015873,0.0,148370.4395,134984.82,90.9782436817544,S3_full
20,13923.5,11662.5,2261.0,0.0,0.8376126692282831,1.0,11.033301493877257,,27.54640886514583,0.0,141851.5785,77541.015,54.66348405844493,S3_full
22,26522.5,24008.5,2514.0,184.5,0.9052125553775097,0.9923738271400818,11.24936183617683,,32.221144186046516,0.0,436542.0471,347046.61,79.49901099,S3_full
25,5312.0,5312.0,0.0,226.0,1.0,0.9591910436980859,11.170289137801205,,13.56401,0.0,39954.9223,47164.085,118.04324044449463,S3_full
27,21838.5,19683.5,2155.0,0.0,0.9013210614282117,1.0,10.508723529546444,,33.271329124423964,0.0,276502.8032,190842.88999999998,69.02023697096463,S3_full
29,30413.5,28180.0,2233.5,0.0,0.9265622174363358,1.0,9.050253017574434,,28.725572129697863,0.0,344045.77165,275126.97,79.96813001959762,S3_full
31,9957.5,7389.5,2568.0,0.0,0.7421039417524479,1.0,20.248922907356267,,52.94937439222042,0.0,338255.1009,225430.565,66.6451339241282,S3_full
36,7623.5,7623.5,0.0,0.0,1.0,1.0,10.81960111497344,,14.306940357941835,0.0,44211.08505,44224.39,100.03009414943097,S3_full
39,8964.0,7610.0,1354.0,0.0,0.8489513609995538,1.0,14.527587684069612,,37.905848537666174,0.0,152568.95785,103411.28,67.78002645968785,S3_full
41,6404.5,6404.5,0.0,1130.5,1.0,0.8499668214996682,13.168929994535093,,28.60300633213859,0.0,79464.00745,105594.43000000001,132.88334352686866,S3_full
45,6134.5,5923.0,211.5,2393.5,0.9655228624989812,0.7121986412553358,17.067705754340206,,40.393545554808334,0.0,145011.67825,218184.045,150.45963720511594,S3_full
46,65219.5,57774.0,7445.5,0.0,0.8858393578607625,1.0,8.76461540950176,,30.771755849056603,0.0,1030246.7139,732226.265,71.07290468592292,S3_full
