mun,transport,total,prod,treatment
fuente de cantos,9.7335,16.39,2519.5,6.656500000000001
fuente del arco,5.901,12.56,375.0,6.659000000000001
fuente del maestre,0.938,5.15,3481.0,4.212000000000001
fuentes de len,6.0865,14.93,1285.5,8.843499999999999
galisteo,5.624499999999999,10.93,984.0,5.3055
garbayuela,5.288499999999999,13.49,273.5,8.201500000000001
garciaz,12.029499999999999,20.84,425.5,8.810500000000001
garganta la,15.645,24.46,245.0,8.815000000000001
garganta la olla,4.679499999999999,13.49,531.0,8.810500000000001
gargantilla,1.652,10.47,220.0,8.818000000000001
gargera,8.799,14.11,66.0,5.311
garlitos,7.2345,15.44,340.5,8.2055
garrovilla la,6.2825,10.32,1253.0,4.0375000000000005
garrovillas de alcontar,9.73,19.64,1140.0,9.91
garvn,11.998,20.41,52.5,8.412
gata,6.352499999999998,15.17,831.0,8.817500000000003
gordo el,8.918,17.33,169.0,8.411999999999999
granja de torrehermosa,15.407,29.8,1188.5,14.393
granja la,2.723,11.54,180.5,8.817
guadalupe,10.237499999999999,18.93,1048.0,8.6925
guarea,13.054999999999998,18.89,3656.0,5.835000000000003
guijo de coria,4.847499999999999,13.48,115.5,8.6325
guijo de galisteo,2.9784999999999995,11.61,805.5,8.631499999999999
guijo de granadilla,8.949499999999999,17.76,312.5,8.810500000000003
guijo de santa brbara,2.849,11.66,205.0,8.811
haba la,4.0775,9.91,683.5,5.8325000000000005
helechosa de los montes,30.271499999999996,38.48,358.0,8.2085
herguijuela,6.205499999999999,15.02,183.0,8.8145
hernnprez,4.9525,13.77,259.0,8.817499999999999
herrera de alcntara,16.5095,25.12,142.5,8.610500000000002
herrera del duque,14.654499999999999,22.86,1844.0,8.2055
herreruela,13.191499999999998,23.1,193.0,9.908500000000004
hervs,10.576999999999998,19.39,2063.0,8.813000000000002
higuera,4.7425,13.15,50.0,8.4075
higuera de la serena,7.5809999999999995,16.13,521.5,8.549
higuera de llerena,6.996499999999999,13.660000000000002,176.5,6.663500000000003
higuera de vargas,12.11,18.7,1077.0,6.59
higuera la real,21.2835,28.37,1237.0,7.086500000000001
hinojal,6.520499999999999,28.15,220.5,21.6295
hinojosa del valle,3.6259999999999994,12.13,279.0,8.504000000000001
holguera,9.0685,14.38,379.0,5.3115000000000006
hornachos,5.827499999999999,14.33,1933.5,8.502500000000001
hoyos,9.023,17.84,488.0,8.817
hulaga,3.3425,12.070000000000002,98.0,8.727500000000003
ibahernando,5.4215,14.23,244.0,8.8085
jaraicejo,10.171,18.58,295.0,8.408999999999999
jarandilla de la vera,1.1689999999999998,9.98,1564.5,8.811
jaraz de la vera,1.6624999999999999,10.48,3233.5,8.8175
jarilla,4.8335,13.649999999999999,77.0,8.816499999999998
jerez de los caballeros,11.238499999999998,18.33,5118.5,7.0915
jerte,1.9635,10.78,666.0,8.8165
ladrillar,7.791,17.17,114.0,9.379000000000001
lapa la,7.269499999999998,11.49,148.0,4.220500000000002
llera,8.099,16.6,473.5,8.501000000000001
llerena,0.9519999999999998,7.610000000000001,2998.5,6.658000000000001
lobn,6.58,13.41,1361.5,6.83
logrosn,0.5704999999999999,9.26,1045.0,8.6895
losar de la vera,2.387,11.2,1483.0,8.812999999999999
madrigal de la vera,11.277,20.09,909.5,8.813
madrigalejo,14.209999999999999,22.9,976.5,8.69
madroera,5.452999999999999,14.259999999999998,1458.0,8.806999999999999
magacela,4.375,10.21,303.5,5.835000000000001
maguilla,9.127999999999998,15.790000000000001,542.0,6.662000000000003
majadas,3.0694999999999997,11.48,648.5,8.4105
malcocinado,19.215,25.88,224.5,6.664999999999999
malpartida de cceres,5.2219999999999995,8.71,2234.5,3.4880000000000013
malpartida de la serena,4.1615,12.71,331.0,8.5485
malpartida de plasencia,4.028499999999999,9.34,2313.5,5.3115000000000006
manchita,16.040499999999998,21.87,382.0,5.829500000000003
marchagaz,10.395,19.77,124.0,9.375
mata de alcntara,5.858999999999999,15.76,165.0,9.901
medelln,5.9675,11.8,1168.5,5.8325000000000005
medina de las torres,4.3645,11.45,669.0,7.0855
membro,8.981,17.59,425.5,8.609
mengabril,4.074,9.91,243.5,5.836
mesas de ibor,9.5865,18.0,86.5,8.4135
miajadas,0.9729999999999998,17.06,5169.0,16.087
millanes,2.1595,10.57,128.5,8.4105
mirabel,4.473,24.319999999999997,365.0,19.846999999999998
mirandilla,6.464499999999998,10.5,688.5,4.035500000000002
mohedas de granadilla,10.5035,19.88,488.0,9.376499999999998
monesterio,11.949,18.61,2189.0,6.661
monroy,11.000499999999999,30.85,497.0,19.849500000000003
montehermoso,1.3685,10.01,2899.5,8.6415
montemoln,9.947,16.61,767.0,6.663
monterrubio de la serena,2.1174999999999997,16.51,1355.0,14.392500000000002
montijo,9.131499999999999,15.96,8118.0,6.828500000000002
montnchez,0.9484999999999999,9.75,1020.0,8.8015
moraleja,1.0815,9.81,3999.0,8.7285
morcillo,2.4499999999999997,11.09,209.0,8.64
morera la,8.155,12.37,376.0,4.215
mrida,13.443499999999998,17.47,28197.5,4.0265
nava de santiago la,12.613999999999999,16.65,544.5,4.036
navaconcejo,2.9889999999999994,11.8,1037.0,8.811000000000002
navalmoral de la mata,2.534,10.95,8614.0,8.416
navalvillar de ibor,2.968,23.03,252.0,20.062
navalvillar de pela,11.7355,20.43,2393.5,8.6945
navas del madroo,4.9875,14.89,722.0,9.9025
navezuelas,11.669,20.36,349.0,8.690999999999999
nogales,11.536,15.75,362.0,4.214
nuomoral,2.0825,11.46,717.5,9.377500000000001
oliva de la frontera,17.2305,24.32,2806.0,7.089500000000001
oliva de mrida,11.339999999999998,19.84,937.5,8.500000000000002
oliva de plasencia,5.435499999999999,10.75,143.0,5.314500000000001
olivenza,1.1095,7.69,5926.0,6.580500000000001
orellana de la sierra,10.8745,16.71,155.5,5.8355000000000015
orellana la vieja,9.0055,14.84,1507.5,5.8345
palomas,7.101499999999999,15.6,350.5,8.4985
palomero,11.172,19.81,226.0,8.637999999999998
parra la,6.807499999999999,11.03,695.0,4.2225
pasarn de la vera,4.6129999999999995,13.430000000000001,338.5,8.817000000000002
pealsordo,6.327999999999999,17.77,605.0,11.442
pedroso de acim,3.3284999999999996,24.95,57.5,21.6215
peraleda de la mata,7.091,15.5,726.5,8.408999999999999
peraleda de san romn,10.479,18.89,147.0,8.411000000000001
peraleda del zaucejo,8.806,23.2,304.0,14.394
perales del puerto,8.907499999999999,17.72,485.0,8.8125
pescueza,4.3084999999999996,13.04,78.5,8.7315
pesga la,14.619500000000002,24.0,561.5,9.380499999999998
piedras albas,6.8565,24.899999999999995,103.5,18.043499999999995
pinofranqueado,7.126,16.5,843.5,9.373999999999999
piornal,8.5295,17.34,768.5,8.8105
plasencia,2.002,7.3100000000000005,20574.0,5.308000000000001
plasenzuela,10.2095,19.01,269.0,8.800500000000001
portaje,1.6169999999999998,10.35,207.5,8.733
portezuelo,5.39,14.12,134.0,8.73
pozuelo de zarzn,4.1194999999999995,12.76,282.0,8.6405
puebla de alcocer,7.496999999999999,15.699999999999998,636.0,8.203
puebla de la calzada,9.362499999999999,16.19,2951.5,6.827500000000002
puebla de la reina,8.414,16.91,430.0,8.496
puebla de obando,15.2845,18.08,994.0,2.7954999999999988
puebla de sancho prez,5.827499999999999,12.92,1449.5,7.092500000000001
puebla del maestre,8.5575,15.22,388.5,6.662500000000001
puebla del prior,1.4,9.9,272.5,8.5
pueblonuevo del guadiana,6.1739999999999995,8.97,1009.0,2.796000000000001
puerto de santa cruz,5.7015,14.510000000000002,196.5,8.808500000000002
quintana de la serena,0.8995,9.44,2534.5,8.5405
rebollar,6.576499999999999,15.39,118.5,8.813500000000001
reina,3.913,10.57,100.5,6.657
rena,5.901,11.73,334.5,5.829000000000001
retamal de llerena,12.578999999999999,21.12,250.5,8.541000000000002
ribera del fresno,0.21,8.71,1733.0,8.5
riolobos,7.472500000000001,12.78,628.5,5.307499999999998
risco,4.1055,12.31,83.0,8.2045
robledillo de gata,3.1604999999999994,11.98,62.0,8.819500000000001
robledillo de la vera,2.5795,11.39,152.5,8.810500000000001
robledillo de trujillo,8.197000000000001,17.0,210.0,8.802999999999999
robledollano,3.3284999999999996,23.39,201.0,20.061500000000002
roca de la sierra la,12.1065,14.9,763.0,2.7935
romangordo,3.9059999999999997,12.320000000000002,112.0,8.414000000000001
rosalejo,9.558499999999999,17.97,642.0,8.4115
ruanes,7.251999999999999,16.05,34.0,8.798000000000002
salorino,10.5735,19.18,344.5,8.6065
salvalen,13.895,20.48,1024.5,6.585000000000001
salvatierra de los barros,9.366,13.59,894.0,4.224
salvatierra de santiago,5.922000000000001,14.720000000000002,151.0,8.798000000000002
san martn de trevejo,16.2365,25.05,458.0,8.813500000000001
san pedro de mrida,8.141,12.17,440.0,4.029
san vicente de alcntara,5.1975,13.809999999999999,2904.0,8.612499999999999
sanctispritus,2.841999999999999,11.05,118.5,8.208000000000002
santa amalia,7.4095,13.24,2163.0,5.8305
santa ana,8.3475,17.15,149.5,8.802499999999998
santa cruz de la sierra,5.278,14.09,135.0,8.812000000000001
santa cruz de paniagua,7.833,16.47,157.5,8.636999999999999
santa marta,11.462499999999999,15.679999999999998,2161.0,4.217499999999999
santa marta de magasca,10.657499999999999,19.47,154.5,8.8125
santiago de alcntara,9.4535,18.06,342.5,8.606499999999999
santiago del campo,8.8935,30.52,153.5,21.6265
santibez el alto,4.0775,12.89,218.0,8.8125
santibez el bajo,10.699499999999999,19.51,414.5,8.810500000000003
santos de maimona los,4.8755,9.09,4096.5,4.2145
saucedilla,2.0265,10.44,402.0,8.413499999999999
segura de len,3.9759999999999995,12.82,1070.0,8.844000000000001
segura de toro,2.247,11.060000000000002,93.0,8.813000000000002
serradilla,0.8924999999999998,20.74,883.0,19.8475
serrejn,4.7775,13.19,222.0,8.4125
sierra de fuentes,7.650999999999999,11.14,1042.5,3.4890000000000017
siruela,1.2914999999999999,9.49,1096.0,8.198500000000001
solana de los barros,9.674,13.709999999999999,1413.0,4.036
talarrubias,5.8695,14.07,1815.0,8.2005
talavera la real,1.1235,7.96,2754.5,6.8365
talaveruela de la vera,6.481999999999999,15.3,182.5,8.818000000000001
talavn,8.8585,30.48,461.5,21.6215
talayuela,1.4069999999999998,9.82,4611.0,8.413
tamurejo,5.379499999999999,13.58,129.5,8.200500000000002
tejeda de titar,5.9639999999999995,14.78,443.5,8.815999999999999
tliga,8.099,14.68,400.5,6.5809999999999995
toril,3.5944999999999996,12.0,89.5,8.4055
tornavacas,4.4415,13.26,590.5,8.8185
torno el,9.674,18.49,494.0,8.815999999999999
torre de don miguel,4.9735,13.79,284.0,8.8165
torre de miguel sesmero,9.918999999999999,16.5,628.5,6.581000000000001
torre de santa mara,2.751,11.55,316.0,8.799000000000001
torrecilla de los ngeles,7.0104999999999995,15.82,343.5,8.8095
torrecillas de la tiesa,6.471499999999999,15.28,589.5,8.8085
torrejn el rubio,7.696499999999999,27.539999999999996,307.0,19.8435
torrejoncillo,12.774999999999999,18.09,1669.0,5.315000000000001
torremayor,8.092,12.12,502.0,4.027999999999999
torremeja,5.624499999999999,9.66,1114.0,4.035500000000001
torremenga,2.4745,11.29,310.5,8.8155
torremocha,7.111999999999999,15.910000000000002,519.0,8.798000000000002
torreorgaz,8.504999999999999,11.99,882.0,3.485000000000001
torrequemada,8.764,17.56,302.0,8.796
trasierra,2.4185,9.08,345.5,6.6615
trujillanos,5.817,9.85,719.5,4.0329999999999995
trujillo,3.8359999999999994,12.65,4911.0,8.814
usagre,8.722,17.22,978.0,8.498
valdastillas,6.7444999999999995,15.56,190.0,8.8155
valdecaas de tajo,12.6455,21.05,59.5,8.4045
valdecaballeros,23.544499999999996,31.75,609.0,8.205500000000004
valdefuentes,3.8955000000000006,12.69,707.5,8.7945
valdehncar,3.472,11.879999999999999,106.0,8.408
valdelacalzada,8.918,11.720000000000002,1402.0,2.802000000000003
valdelacasa de tajo,14.377999999999998,22.79,227.5,8.412
valdemorales,6.0235,14.82,115.0,8.7965
valdeobispo,6.670999999999999,11.98,380.5,5.309000000000001
valdetorres,9.961,15.79,665.5,5.828999999999999
valencia de alcntara,0.9064999999999999,9.52,3089.0,8.6135
valencia de las torres,8.2985,14.96,343.5,6.6615
valencia del mombuey,24.216499999999996,31.300000000000004,391.0,7.083500000000008
valencia del ventoso,6.1285,13.21,1124.5,7.081500000000001
valle de la serena,10.717,19.26,712.5,8.543000000000001
valle de matamoros,14.209999999999999,21.3,211.5,7.090000000000002
valle de santa ana,17.3005,21.52,596.0,4.2195
valverde de burguillos,3.2689999999999997,10.36,161.0,7.090999999999999
valverde de la vera,6.8774999999999995,15.69,294.0,8.8125
valverde de legans,3.7485,10.34,2077.5,6.5915
valverde de llerena,9.908499999999998,16.57,357.0,6.661500000000002
valverde de mrida,9.7685,13.8,579.5,4.031500000000001
valverde del fresno,16.583,25.4,1254.5,8.817
viandar de la vera,6.1739999999999995,14.99,133.0,8.816
villa del campo,4.515,13.15,277.5,8.635000000000002
villa del rey,3.1254999999999997,13.03,78.5,9.904499999999999
villafranca de los barros,3.43,11.93,6678.0,8.5
villagarca de la torre,13.0025,21.5,493.0,8.4975
villagonzalo,12.4495,16.48,674.0,4.0305
villalba de los barros,5.2115,9.43,827.0,4.2185
villamesas,5.2185,21.31,155.5,16.0915
villamiel,13.44,22.25,337.5,8.81
villanueva de la serena,5.999,11.83,12919.0,5.831
villanueva de la sierra,6.5345,15.17,257.0,8.6355
villanueva de la vera,7.958999999999999,16.77,1054.0,8.811
villanueva del fresno,14.790999999999999,21.38,1839.0,6.589
villar de plasencia,6.7410000000000005,15.56,114.5,8.818999999999999
villar de rena,6.888000000000001,12.72,728.5,5.832
villar del pedroso,17.3635,25.77,336.5,8.406500000000001
villar del rey,9.701999999999998,12.5,1193.0,2.798000000000002
villarta de los montes,40.99549999999999,49.2,293.5,8.20450000000001
villasbuenas de gata,5.7855,14.6,228.0,8.814499999999999
zafra,4.826499999999999,9.04,8212.0,4.2135
zahnos,17.087,23.67,1453.0,6.583000000000002
zalamea de la serena,5.768,14.31,1989.0,8.542000000000002
zarza de granadilla,4.2595,13.07,932.0,8.810500000000001
zarza de montnchez,6.4959999999999996,15.290000000000001,309.5,8.794
zarza la,10.6365,14.67,1781.5,4.0335
zarza la mayor,3.2724999999999995,21.31,704.5,18.037499999999998
zarzacapilla,4.508,15.95,201.5,11.442
zorita,7.811999999999999,16.5,836.5,8.688
