mun,transport,total,prod,treatment
abada,1.799,10.61,162.5,8.811
abertura,5.425,21.52,227.0,16.095
acebo,9.687999999999999,18.5,342.5,8.812000000000001
acedera,11.8685,17.7,410.5,5.8315
acehche,6.2615,24.300000000000004,426.0,18.038500000000006
aceituna,3.9409999999999994,12.58,308.5,8.639000000000001
aceuchal,7.0,11.22,2839.5,4.220000000000001
ahigal,9.394,18.21,728.5,8.816
ahillones,7.119,13.78,526.0,6.661
ala,13.79,22.48,510.5,8.690000000000001
alange,8.7395,12.77,1002.5,4.0305
albal,1.1724999999999999,9.97,399.0,8.797500000000001
albuera la,7.864499999999999,14.7,993.0,6.835500000000001
alburquerque,14.574000000000002,17.37,2852.0,2.7959999999999994
alcntara,6.331499999999999,16.24,826.5,9.9085
alcollarn,5.9464999999999995,22.04,133.0,16.0935
alconchel,7.794499999999998,14.38,975.5,6.585500000000002
alconera,2.604,9.69,368.5,7.085999999999999
alcuscar,3.2305,12.03,1505.0,8.799499999999998
aldea del cano,10.366999999999999,13.85,360.5,3.4830000000000005
aldea del obispo la,5.554499999999999,14.37,175.0,8.8155
aldeacentenera,12.393499999999998,21.21,387.0,8.816500000000003
aldeanueva de la vera,2.9085,11.72,1137.5,8.8115
aldeanueva del camino,0.287,9.1,400.0,8.812999999999999
aldehuela de jerte,6.450499999999999,11.76,169.0,5.309500000000001
aliseda,11.343499999999999,14.83,991.0,3.4865000000000013
aljucn,8.379,12.41,126.0,4.031000000000001
almaraz,0.4235,8.83,660.5,8.4065
almendral,8.946,15.53,653.5,6.584
almendralejo,7.5285,11.75,16794.0,4.2215
almoharn,4.794999999999999,20.89,998.5,16.095000000000002
arroyo de la luz,7.9835,11.47,3258.5,3.4865000000000004
arroyo de san servn,3.6224999999999996,7.66,2138.0,4.0375000000000005
arroyomolinos,2.9645,11.76,499.5,8.7955
arroyomolinos de la vera,6.499499999999999,15.31,248.5,8.810500000000001
atalaya,1.5154999999999998,8.6,169.0,7.0845
azuaga,13.657,20.32,4150.5,6.663
badajoz,3.64,6.44,74167.0,2.8000000000000003
baos de montemayor,13.425999999999998,22.24,351.5,8.814
barcarrota,11.123,17.71,1849.0,6.5870000000000015
barrado,8.9915,17.8,238.5,8.8085
baterno,5.998999999999999,14.2,176.0,8.201
belvs de monroy,4.0215,12.43,335.0,8.4085
benquerencia,7.475999999999999,16.28,49.0,8.804000000000002
benquerencia de la serena,3.388,11.93,474.0,8.542
berlanga,9.901499999999999,16.56,1242.0,6.6585
berrocalejo,11.5115,19.92,52.5,8.408500000000002
berzocana,6.4855,15.18,264.0,8.6945
bienvenida,11.571,20.07,1163.0,8.499
bodonal de la sierra,2.541,11.38,569.5,8.839
bohonal de ibor,6.982499999999999,15.389999999999999,267.5,8.407499999999999
botija,10.885,19.68,99.5,8.795
brozas,1.0325,10.94,1061.5,9.907499999999999
burguillos del cerro,4.396,11.48,1643.0,7.0840000000000005
caamero,4.158,12.85,893.5,8.692
caaveral,0.77,22.4,642.0,21.63
cabaas del castillo,11.441499999999998,31.51,211.5,20.068500000000004
cabeza del buey,0.5389999999999999,11.98,2705.5,11.441
cabeza la vaca,8.155,17.0,739.5,8.845
cabezabellosa,9.344999999999999,18.16,209.0,8.815000000000001
cabezuela del valle,1.9284999999999999,10.74,1064.5,8.8115
cabrero,9.73,18.54,184.5,8.809999999999999
cachorrilla,4.962999999999999,13.689999999999998,46.5,8.726999999999999
cadalso,1.3685,10.18,253.0,8.811499999999999
calamonte,0.9729999999999999,5.0,3089.0,4.027
calera de len,11.479999999999999,20.32,530.0,8.840000000000002
calzadilla,6.3,15.03,242.5,8.73
calzadilla de los barros,11.217499999999998,18.3,431.5,7.082500000000003
caminomorisco,5.435499999999999,14.82,629.0,9.384500000000001
campanario,4.616499999999999,10.45,2683.5,5.8335
campillo de deleitosa,14.353499999999997,22.76,39.5,8.406500000000005
campillo de llerena,14.959,21.62,759.0,6.661000000000001
campo lugar,5.001499999999999,21.09,515.0,16.0885
capilla,7.5005,18.94,93.5,11.439500000000002
carbajo,11.375,19.98,113.5,8.605
carcaboso,4.984,10.3,554.0,5.316000000000001
carmonita,7.3395,16.14,290.5,8.8005
carrascalejo,18.966499999999996,39.03,168.5,20.063500000000005
carrascalejo el,6.992999999999999,11.03,42.5,4.037
casar de cceres,2.0965,5.58,2439.5,3.4835000000000003
casar de palomero,8.014999999999999,17.39,689.0,9.375000000000002
casares de las hurdes,4.791499999999999,14.17,264.0,9.3785
casas de don antonio,7.854,16.65,106.5,8.796
casas de don gmez,3.9059999999999997,12.64,173.5,8.734000000000002
casas de don pedro,11.7215,19.92,816.0,8.198500000000001
casas de milln,2.6424999999999996,24.27,345.0,21.6275
casas de miravete,4.9735,13.38,72.5,8.406500000000001
casas de reina,2.9189999999999996,9.58,98.0,6.6610000000000005
casas del castaar,9.541,14.85,319.5,5.308999999999999
casas del monte,3.3529999999999998,12.17,383.0,8.817
casatejada,1.1304999999999998,9.54,699.5,8.4095
casillas de coria,6.107499999999999,14.84,235.0,8.732500000000002
castaar de ibor,0.6895,20.76,612.5,20.070500000000003
castilblanco,20.180999999999997,28.38,575.5,8.199000000000002
castuera,1.008,9.55,3297.0,8.542000000000002
cceres,3.9305,7.42,46565.5,3.4895
ceclavn,1.7114999999999998,19.75,1027.0,18.0385
cedillo,15.914499999999999,24.52,248.5,8.605500000000001
cerezo,10.661,19.48,95.0,8.819
cheles,10.7275,17.31,643.5,6.5825
cilleros,12.859,21.67,934.0,8.811000000000002
codosera la,12.3865,21.0,1161.0,8.6135
collado,2.793,11.609999999999998,100.5,8.816999999999997
conquista de la sierra,7.504,16.32,105.0,8.816
cordobilla de lcara,10.836,19.63,483.5,8.793999999999999
coria,2.6704999999999997,11.4,6448.0,8.729500000000002
coronada la,1.904,7.74,1119.5,5.836
corte de peleas,9.152499999999998,15.99,653.5,6.837500000000002
cristina,12.113499999999998,17.95,281.0,5.836500000000001
cuacos de yuste,3.9619999999999997,12.78,457.5,8.818
cumbre la,7.3115,16.12,491.0,8.808500000000002
deleitosa,8.067499999999999,28.13,419.0,20.0625
descargamara,2.1279999999999997,10.94,95.0,8.812
don benito,2.8385,8.67,17895.5,5.8315
don lvaro,12.876499999999997,16.91,371.5,4.033500000000004
eljas,16.919,25.73,516.5,8.811
entrn bajo,10.4125,17.25,301.0,6.8375
escurial,0.5914999999999999,16.68,425.5,16.0885
esparragalejo,4.725,8.76,790.0,4.035
esparragosa de la serena,4.4239999999999995,12.97,544.0,8.546000000000001
esparragosa de lares,8.981,17.19,510.5,8.209000000000001
feria,5.152,9.37,670.5,4.217999999999999
fregenal de la sierra,1.2005,10.04,2618.5,8.8395
fresnedoso de ibor,6.0165,26.08,164.5,20.063499999999998
fuenlabrada de los montes,11.766999999999998,19.97,977.5,8.203000000000001
