mun,transport,total,prod,treatment
abada,1.798895,7.2875,162.5,5.488605
abertura,5.42514,14.215,227.0,8.789860000000001
acebo,9.68863,18.0481,342.5,8.359470000000002
acedera,11.868744999999999,15.6156,410.5,3.746855000000002
acehche,10.09239,17.5599,426.0,7.467509999999999
aceituna,3.942154999999999,12.4799,308.5,8.537745000000001
aceuchal,6.99902,10.5794,2839.5,3.58038
ahigal,9.39379,14.8824,728.5,5.488610000000001
ahillones,7.1195949999999995,13.5821,526.0,6.462505000000001
ala,13.788495,22.5826,510.5,8.794105
alange,8.73838,12.3355,1002.5,3.5971200000000003
albal,1.173305,9.9996,399.0,8.826294999999998
albuera,11.51794,14.1828,993.0,2.664860000000001
alburquerque,14.574175,17.239,2852.0,2.6648250000000004
alcntara,20.846559999999997,24.0824,826.5,3.235840000000003
alcollarn,5.946954999999999,14.7368,133.0,8.789845000000001
alconchel,7.795899999999999,14.5586,975.5,6.7627000000000015
alconera,2.604735,10.0775,368.5,7.472765000000001
alcuscar,3.229589999999999,12.0559,1505.0,8.82631
aldea del cano,10.366755,13.602600000000002,360.5,3.235845000000003
aldea del obispo,5.554745,14.011999999999999,175.0,8.457255
aldeacentenera,12.393954999999997,20.8512,387.0,8.457245000000002
aldeanueva de la vera,2.9079049999999995,8.3965,1137.5,5.488595
aldeanueva del camino,0.286335,5.7749,400.0,5.4885649999999995
aldehuela de jerte,6.4505349999999995,11.5415,169.0,5.090965
aliseda,11.344409999999998,14.5802,991.0,3.2357900000000015
aljucn,8.379209999999999,11.9763,126.0,3.5970900000000015
almaraz,0.423815,6.5011,660.5,6.077285
almendral,8.946525,15.7093,653.5,6.762775000000001
almendralejo,7.529864999999999,11.1102,16794.0,3.5803350000000016
almoharn,4.794474999999999,13.5843,998.5,8.789825
arroyo de la luz,7.982974999999999,11.2188,3258.5,3.235825000000001
arroyo de san servn,3.62355,7.2206,2138.0,3.5970500000000003
arroyomolinos,2.9638349999999996,11.7901,499.5,8.826265000000001
arroyomolinos de la vera,6.4982750000000005,11.9869,248.5,5.488625
atalaya,1.5156749999999999,8.9884,169.0,7.4727250000000005
azuaga,13.656894999999999,20.1195,4150.5,6.462605
badajoz,3.6406300000000003,6.3055,74167.0,2.66487
baos de montemayor,13.424880000000002,18.9135,351.5,5.488619999999997
barcarrota,11.123384999999999,17.8861,1849.0,6.762715
barrado,8.99031,14.4789,238.5,5.48859
baterno,5.997669999999999,14.2002,176.0,8.202530000000001
belvs de monroy,4.02283,10.1001,335.0,6.0772699999999995
benquerencia,7.477155,16.3034,49.0,8.826245
benquerencia de la serena,3.3874049999999998,11.3722,474.0,7.984795
berlanga,9.902479999999999,16.365,1242.0,6.46252
berrocalejo,11.512795,17.5901,52.5,6.077304999999999
berzocana,6.4851149999999995,15.2793,264.0,8.794184999999999
bienvenida,15.115519999999998,18.6959,1163.0,3.5803800000000034
bodonal de la sierra,2.54093,11.3827,569.5,8.84177
bohonal de ibor,6.98124,13.0585,267.5,6.077260000000001
botija,15.181564999999999,18.4174,99.5,3.2358350000000016
brozas,17.835684999999998,21.0715,1061.5,3.2358150000000023
burguillos del cerro,4.39509,11.867899999999999,1643.0,7.472809999999999
caamero,4.156425,12.9506,893.5,8.794175
caaveral,12.674095,15.9099,642.0,3.235805000000001
cabaas del castillo,11.719574999999999,20.5137,211.5,8.794125000000001
cabeza del buey,0.538895,11.983,2705.5,11.444105
cabeza la vaca,8.156329999999999,16.9981,739.5,8.841770000000002
cabezabellosa,9.34437,14.833,209.0,5.488630000000001
cabezuela del valle,1.9271349999999998,7.4157,1064.5,5.488565
cabrero,10.084235,15.1752,184.5,5.090965000000001
cachorrilla,4.9624749999999995,12.43,46.5,7.467525
cadalso,1.368255,9.7277,253.0,8.359445000000001
calamonte,0.9722299999999999,4.5693,3089.0,3.5970700000000004
calera de len,11.479965,20.3217,530.0,8.841735
calzadilla,6.2987400000000004,13.7663,242.5,7.467559999999999
calzadilla de los barros,11.349274999999999,14.9296,431.5,3.580325000000002
caminomorisco,12.23705,20.5965,629.0,8.359449999999999
campanario,4.6169199999999995,8.3638,2683.5,3.74688
campillo de deleitosa,14.352379999999998,20.4296,39.5,6.077220000000002
campillo de llerena,14.957249999999998,21.4198,759.0,6.46255
campo lugar,5.00045,13.7903,515.0,8.789850000000001
capilla,7.499974999999999,18.9441,93.5,11.444125
carbajo,11.375874999999999,19.9464,113.5,8.570525000000002
carcaboso,4.984629999999999,10.0756,554.0,5.09097
carmonita,7.337925,16.1642,290.5,8.826275
carrascalejo,19.49479,25.5721,337.0,6.077310000000001
casar de cceres,2.09783,5.3336,2439.5,3.2357699999999996
casar de palomero,15.070194999999996,20.5588,689.0,5.488605000000005
casares de las hurdes,22.408715,30.7682,264.0,8.359485
casas de don antonio,7.8553299999999995,16.6816,106.5,8.826270000000001
casas de don gmez,3.90495,11.3725,173.5,7.467550000000001
casas de don pedro,11.721255,19.9238,816.0,8.202545
casas de milln,14.343105,17.5789,345.0,3.2357950000000013
casas de miravete,4.973744999999999,11.051,72.5,6.077255000000001
casas de reina,2.92005,9.3826,98.0,6.46255
casas del castaar,9.541699999999999,14.6326,319.5,5.090900000000001
casas del monte,3.353945,8.8426,383.0,5.488655
casatejada,1.13141,7.2087,699.5,6.0772900000000005
casillas de coria,6.106904999999999,13.574400000000002,235.0,7.467495000000003
castaar de ibor,14.402604999999998,20.4799,612.5,6.077295000000003
castilblanco,20.182084999999997,28.3846,575.5,8.202515000000002
castuera,1.008175,8.993,3297.0,7.984825000000001
cceres,3.9318999999999997,7.167699999999999,46565.5,3.2357999999999993
ceclavn,9.419199999999998,16.8867,1027.0,7.467500000000003
cedillo,15.915234999999997,24.4857,248.5,8.570465000000004
cerezo,10.662294999999999,16.1509,95.0,5.4886050000000015
cheles,10.72757,17.4903,643.5,6.762730000000001
cilleros,12.859910000000001,21.2194,934.0,8.35949
codosera,12.388074999999999,20.9586,1161.0,8.570525000000002
collado,2.79349,8.2821,100.5,5.4886099999999995
conquista de la sierra,7.50463,15.961899999999998,105.0,8.457269999999998
cordobilla de lcara,10.83432,19.6606,483.5,8.826279999999999
coria,2.669345,10.1369,6448.0,7.467555000000001
coronada,1.90351,5.6504,1119.5,3.7468900000000005
corte de peleas,12.471339999999998,16.0517,653.5,3.5803600000000024
cristina,12.114374999999999,15.861199999999998,281.0,3.7468249999999994
cuacos de yuste,3.96277,9.4514,457.5,5.48863
cumbre,7.312199999999999,15.7694,491.0,8.4572
deleitosa,9.572535,15.6498,419.0,6.077265000000001
descargamara,2.12646,10.4859,95.0,8.359440000000001
don benito,2.83871,6.5855,17895.5,3.74679
don lvaro,12.875239999999998,16.4723,371.5,3.5970600000000026
