origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Mérida,Montehermoso,4.7336491,156688.8050427,518.5415382,157212.08023
Mérida,Jaraíz de la Vera,4.7336491,162149.913903,685.9588293,162840.6063814
Mérida,Navalmoral de la Mata,4.7336491,157838.993246,1329.9633607,159173.6902558
Mérida,Jarandilla de la Vera,4.7336491,179601.6802726,659.9406189,180266.3545406
Mérida,Plasencia,4.7336491,139976.5853697,588.7880731,140570.1070919
Mérida,Cañaveral,4.7336491,108215.7083363,193.661938,108414.1039234
Mérida,Cadalso,4.7336491,179647.9306604,345.2970645,179997.961374
Mérida,Coria,4.7336491,129504.6977544,74.549165,129583.9805685
Mérida,Serradilla,4.7336491,124951.855737,1273.8395642,126230.4289503
Mérida,Millanes,4.7336491,145844.7363009,220.4399506,146069.9099005
Mérida,Casatejada,4.7336491,144880.3632122,320.3661866,145205.4630479
Mérida,Escurial,4.7336491,51788.2977411,74.3212918,51867.352682
Mérida,Almaraz,4.7336491,133754.0538454,75.4078845,133834.195379
Mérida,Miajadas,4.7336491,49282.2621137,39.1585618,49326.1543246
Mérida,Valencia de Alcántara,4.7336491,129528.4879378,2.5264989,129535.7480858
Mérida,Trujillo,4.7336491,86286.7838595,201.0830222,86492.6005308
Mérida,Montánchez,4.7336491,43414.7501826,46.3952131,43465.8790448
Mérida,Castañar de Ibor,4.7336491,145732.4348276,698.7043221,146435.8727988
Mérida,Miajadas,4.7336491,49218.9863055,29.0812557,49252.8012103
Mérida,Brozas,4.7336491,114645.6303284,66.5231765,114716.8871539
Mérida,Logrosán,4.7336491,96542.8062132,52.4389281,96599.9787904
Mérida,Cáceres,4.7336491,74800.6046331,127.5009616,74932.8392438
Don Benito,Ribera del Fresno,13.7445968,65019.7899647,133.3404845,65166.8750461
Don Benito,Ribera del Fresno,13.7445968,67148.7175208,43.0864065,67205.5485241
Don Benito,Don Benito,13.7445968,4526.548178,1210.0073194,5750.3000942
Don Benito,Talavera la Real,13.7445968,92365.9007701,157.046597,92536.6919639
Don Benito,Atalaya,13.7445968,102308.705672,1173.6409482,103496.091217
Don Benito,Quintana de la Serena,13.7445968,49747.6131597,22.5339004,49783.8916569
Don Benito,Cabeza del Buey,13.7445968,75723.8893201,167.6163566,75905.2502735
Don Benito,Fregenal de la Sierra,13.7445968,131810.1922364,714.1054274,132538.0422606
Don Benito,Fuente del Maestre,13.7445968,83922.92866,904.9346082,84841.6078651
Don Benito,Llerena,13.7445968,106111.6658377,387.2846945,106512.6951289
Don Benito,Siruela,13.7445968,83990.1690453,60.3970647,84064.3107068
Don Benito,Puebla del Prior,13.7445968,65305.9659018,856.8577394,66176.568238
Don Benito,Olivenza,13.7445968,131188.5103993,419.4188023,131621.6737984
Don Benito,Mérida,13.7445968,52460.2314964,457.6761902,52931.6522834
Don Benito,Castuera,13.7445968,45850.6048937,46.7786586,45911.1281491
Don Benito,Monterrubio de la Serena,13.7445968,67227.6046634,100.409866,67341.7591262
Don Benito,Villanueva de la Serena,13.7445968,14041.0584607,153.7294795,14208.532537
Don Benito,Badajoz,13.7445968,103488.7370604,272.375242,103774.8568992
Don Benito,Moraleja,13.7445968,166912.3979396,316.2138127,167242.356349
Don Benito,Nuñomoral,13.7445968,202104.1563118,45.3584391,202163.2593477
Don Benito,Cabezuela del Valle,13.7445968,174072.7802201,418.7409299,174505.2657468
Don Benito,Aldeanueva del Camino,13.7445968,170168.8811266,220.512285,170403.1380084
Don Benito,Ceclavín,13.7445968,161668.9338618,1118.2002169,162800.8786756
