origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Badajoz,"Albuera, La",9.2782426,24064.4076783,1.6658207,24075.3517416
Badajoz,Usagre,9.2782426,98829.1500203,7.7267863,98846.1550492
Badajoz,Fuenlabrada de los Montes,9.2782426,195886.0221417,11.4896619,195906.7900462
Badajoz,Alconchel,9.2782426,49927.7575137,2.3905138,49939.4262701
Badajoz,Oliva de Mérida,9.2782426,89242.5370408,0.8119838,89252.6272672
Badajoz,Salvatierra de los Barros,9.2782426,63737.0759746,13.5362105,63759.8904278
Badajoz,Villalba de los Barros,9.2782426,52498.848038,22.6649839,52530.7912646
Badajoz,Casas de Don Pedro,9.2782426,155833.1997962,7.4938232,155849.971862
Badajoz,Esparragalejo,9.2782426,55351.5826546,34.250677,55395.1115743
Badajoz,Montemolín,9.2782426,112108.1987839,31.080851,112148.5578776
Badajoz,"Roca de la Sierra, La",9.2782426,39272.7823464,10.4831694,39292.5437584
Badajoz,Campillo de Llerena,9.2782426,124747.3498288,6.9060228,124763.5340942
Badajoz,Cabeza la Vaca,9.2782426,118315.166884,5.8482318,118330.2933585
Badajoz,Villar de Rena,9.2782426,116488.722612,21.8623443,116519.8631989
Badajoz,Trujillanos,9.2782426,68411.576017,25.7378063,68446.592066
Badajoz,Valle de la Serena,9.2782426,117644.4980486,5.0457327,117658.8220239
Badajoz,"Parra, La",9.2782426,56784.021106,28.1174054,56821.416754
Badajoz,Mirandilla,9.2782426,71179.0770914,50.9994967,71239.3548308
Badajoz,"Haba, La",9.2782426,114122.4698612,4.6248486,114136.3729524
Badajoz,Villagonzalo,9.2782426,78538.8805143,7.6221406,78555.7808976
Badajoz,Feria,9.2782426,59017.033631,4.7129945,59031.0248681
Badajoz,Medina de las Torres,9.2782426,83666.1260266,9.4414405,83684.8457098
Badajoz,Valdetorres,9.2782426,92997.6420514,17.1387269,93024.059021
Badajoz,Almendral,9.2782426,35935.974006,22.1652785,35967.4175272
Badajoz,Corte de Peleas,9.2782426,32214.9785106,23.7757292,32248.0324824
Badajoz,Cheles,9.2782426,61865.6454523,34.6553615,61909.5790564
Badajoz,Puebla de Alcocer,9.2782426,174187.0953477,6.1814882,174202.5550785
Badajoz,Torre de Miguel Sesmero,9.2782426,38076.6163721,18.0929944,38103.9876092
Badajoz,Valdecaballeros,9.2782426,229416.5358014,29.6693693,229455.4834133
Badajoz,Peñalsordo,9.2782426,191983.9630266,11.7161336,192004.9574029
Badajoz,Valle de Santa Ana,9.2782426,67680.5293158,81.9824214,67771.7899798
Badajoz,Valverde de Mérida,9.2782426,70869.4577963,30.0841051,70908.820144
Badajoz,Castilblanco,9.2782426,219537.1603669,11.0697911,219557.5084006
Badajoz,Bodonal de la Sierra,9.2782426,102331.4161295,35.6497089,102376.344081
Badajoz,"Nava de Santiago, La",9.2782426,57093.4249521,11.8702375,57114.5734323
Badajoz,Esparragosa de la Serena,9.2782426,140135.3814013,17.5674343,140162.2270782
Badajoz,Maguilla,9.2782426,130609.108733,18.4236916,130636.8106673
Badajoz,Calera de León,9.2782426,124120.8148677,18.771303,124148.8644133
Badajoz,Ahillones,9.2782426,128665.4072783,7.6305676,128682.3160886
Badajoz,Higuera de la Serena,9.2782426,125277.9348888,33.3606052,125320.5737367
Badajoz,Esparragosa de Lares,9.2782426,174102.1422334,3.0018651,174114.4223411
Badajoz,Torremayor,9.2782426,44561.4320091,14.5223832,44585.2326349
Badajoz,Villagarcía de la Torre,9.2782426,107714.0007824,0.1033553,107723.3823803
Badajoz,Cordobilla de Lácara,9.2782426,69459.7778552,3.4709665,69472.5270644
Badajoz,Benquerencia de la Serena,9.2782426,147612.6655876,67.4635351,147689.4073653
Badajoz,Llera,9.2782426,103783.1958967,15.1416245,103807.6157638
Badajoz,San Pedro de Mérida,9.2782426,75098.4821731,16.1055962,75123.8660119
Badajoz,Calzadilla de los Barros,9.2782426,92253.5052086,20.1577948,92282.941246
Badajoz,Puebla de la Reina,9.2782426,87782.4368112,5.3310859,87797.0461397
Badajoz,Acedera,9.2782426,130634.8393588,406.4716609,131050.5892623
Badajoz,Táliga,9.2782426,42008.227458,65.2230572,42082.7287579
Badajoz,Valencia del Mombuey,9.2782426,81686.414928,16.0997865,81711.7929572
Badajoz,Puebla del Maestre,9.2782426,129990.4700297,5.4456757,130005.1939481
Badajoz,Manchita,9.2782426,92088.6561234,117.3517057,92215.2860717
Badajoz,"Morera, La",9.2782426,52797.926723,32.137898,52839.3428636
Badajoz,Fuente del Arco,9.2782426,130822.7330911,102.8479621,130934.8592959
Badajoz,Don Álvaro,9.2782426,69092.8379807,5.6361905,69107.7524139
Badajoz,Alconera,9.2782426,84081.2412973,6.0203679,84096.5399079
Badajoz,Nogales,9.2782426,43731.8097222,131.1575086,43872.2454734
Badajoz,Helechosa de los Montes,9.2782426,248672.1517588,9.1959693,248690.6259707
Badajoz,Valverde de Llerena,9.2782426,136120.6703925,49.5161696,136179.4648047
Badajoz,Palomas,9.2782426,84166.580459,10.2858383,84186.14454
Badajoz,Trasierra,9.2782426,123490.1421148,69.8604518,123569.2808092
Badajoz,Valencia de las Torres,9.2782426,110496.689865,2.4986791,110508.4667868
Badajoz,Garlitos,9.2782426,201861.2108801,96.6293249,201967.1184476
Badajoz,Rena,9.2782426,113745.5530371,11.2736325,113766.1049122
Badajoz,Malpartida de la Serena,9.2782426,135037.0361213,40.4184181,135086.732782
Badajoz,Peraleda del Zaucejo,9.2782426,148937.9546452,9.4663796,148956.6992674
Badajoz,Magacela,9.2782426,120742.6134237,60.242879,120812.1345454
Badajoz,Entrín Bajo,9.2782426,35786.2563149,19.9746122,35815.5091698
Badajoz,Villarta de los Montes,9.2782426,279178.4957767,2.6181365,279190.3921558
Badajoz,Carmonita,9.2782426,79177.9190784,48.5939129,79235.791234
Badajoz,Cristina,9.2782426,85473.2553879,15.6596273,85498.1932578
Badajoz,Hinojosa del Valle,9.2782426,91023.712756,13.4377089,91046.4287076
Badajoz,Garbayuela,9.2782426,189392.711434,4.5899017,189406.5795783
Badajoz,Puebla del Prior,9.2782426,86221.1487206,63.4696966,86293.8966598
Badajoz,Retamal de Llerena,9.2782426,116935.2744965,40.4512731,116985.0040122
Badajoz,Mengabril,9.2782426,100748.0115371,55.0422194,100812.3319992
