municipio,num_rutas_totales,distancia_min_20,distancia_max_20,diferencia_porcentual_max_16,diferencia_porcentual_min_16,cociente_diferencias
Ribera del Fresno,278,4295.713381,33345.76739,1.2779598523278457,0.9092242810120731,1.4055496306206503
Don Benito,278,6700.805389,36113.66685,1.3956399292190222,0.8551429623183054,1.632054511020498
Talavera la Real,278,6558.229081,42555.63642,1.329172088898102,0.9800289846459304,1.3562579369816412
Atalaya,278,6508.563953,34190.5008,1.940321651584148,0.9360542575975724,2.0728730581965147
Quintana de la Serena,278,8481.026241,40087.21112,1.2135815565168238,1.0226856000906432,1.1866614298756732
Cabeza del Buey,278,19626.26815,49698.68663,1.381960741689373,1.0348459592193278,1.3354265235107103
Fregenal de la Sierra,278,4816.969647,46886.21987,1.2620623312222154,0.9891438021073878,1.2759139050695865
Fuente del Maestre,278,11184.92737,32515.61447,1.5985084681842956,0.9461378012994746,1.6895091454847502
Llerena,278,5926.253279,40047.86337,1.3260105379207674,0.9336506932497441,1.4202426533903618
Siruela,278,9691.398598,53033.31043,1.6719434414604266,0.8815409405717286,1.8966146261750223
Puebla del Prior,278,4295.713381,35141.48851,1.4240532266763624,0.9069504046387908,1.5701555668234328
Olivenza,278,19493.03318,54609.12349,1.2740128183260235,0.9885608873796886,1.2887550322802706
Castuera,278,5307.718166,44545.66519,1.2906423066835755,1.0208076389915708,1.2643344910296395
Monterrubio de la Serena,278,14688.93512,55027.9626,1.2141750172825525,0.9145242162000937,1.3276575904436154
Villanueva de la Serena,278,6700.805389,34047.42661,2.360202189993282,0.7072158289450002,3.3373152768853447
Badajoz,278,18451.87489,51896.19796,1.2941458865531923,0.8712775615615082,1.4853428386630516
Trujillo,278,15742.52208,31786.52139,1.335390628724155,1.0139726697227651,1.316988779479895
Moraleja,278,11330.14354,29770.05193,1.6052056055404975,0.9912794351049652,1.6193270521853653
Cabezuela del Valle,278,2998.679419,32242.35141,2.266082848377153,0.9155624038397288,2.4750719763869156
Aldeanueva del Camino,278,2910.411298,30372.7408,2.0631448549351004,1.0182496443972247,2.0261680092767667
Montehermoso,278,6110.710641,25390.1647,1.6112704331443266,0.9312370355633227,1.7302473716261069
Navalmoral de la Mata,278,6805.093295,31421.58119,4.010949752504696,0.8037640227728703,4.990208119377496
Jarandilla de la Vera,278,4680.561882,32953.36412,1.773106607029713,1.2116801640233115,1.463345410510162
Plasencia,278,8790.788069,27349.09917,1.6738381900365171,0.9395940032311104,1.781448353523395
Cadalso,278,4226.496518,29922.88938,1.5751818459700724,0.8373808695035407,1.881081719605026
Coria,278,10256.2231,28289.1895,2.8169077152285724,0.7642195292813864,3.6859928427599558
Serradilla,278,10616.23956,45211.37653,1.516849481925739,1.1389847652450584,1.3317557251078604
Millanes,278,6805.093295,34528.1728,1.4545741319156884,0.9846300685492657,1.4772798215057854
Casatejada,278,4269.154403,31814.62728,1.6336890224560336,1.031627031515369,1.5836043187587754
Escurial,278,2989.652726,27486.17747,1.342868832382453,0.9715892253960529,1.3821363980596366
Almaraz,278,4550.825201,31411.46078,1.5574865710628916,0.9721395821006765,1.6021223698117
Miajadas,278,2989.652726,28921.74162,1.381409313038486,0.961307511801,1.4370108379268038
Brozas,278,7243.376691,62366.41747,1.6065203324763162,1.0733224740545726,1.4967732170999275
