municipio,planta_asignada,euclidean_distance
Jara¡z de la Vera,26,3821.904274405429
Valencia de Alc ntara,39,912.6329708749053
Montehermoso,25,2923.303013938291
Casar de Cáceres,46,4808.059210988537
Malpartida de Plasencia,29,7319.375029413806
Malpartida de Cáceres,46,10314.851501921685
Hervás,23,5530.491995688884
Torrejoncillo,32,5453.501930441895
Jarandilla de la Vera,28,1806.1482468075887
Alcuéscar,41,7382.765908713828
Losar de la Vera,28,3350.217049167694
Madroñera,19,9350.129912169838
Valverde del Fresno,20,26658.177754455533
Garrovillas de Alconétar,30,17571.93704114491
Aldeanueva de la Vera,28,4988.354492421791
Cabezuela del Valle,22,2956.3697182343194
Brozas,44,1428.6354568694867
Villanueva de la Vera,28,15531.366300318616
Guadalupe,45,19009.870694169505
Logrosán,45,1400.2179625464728
Sierra de Fuentes,46,16101.074838798468
Navaconcejo,22,5443.637940566029
Ceclavín,24,2944.74452517346
Montánchez,41,1886.8983979826764
Almoharín,43,11531.19551996483
Aliseda,44,21401.042694570595
Galisteo,29,12557.646484533116
Madrigalejo,36,23231.277452799444
Cilleros,20,13208.346987056766
Zarza de Granadilla,23,10924.418082998563
Madrigal de la Vera,28,23766.806137361786
Cañamero,45,9671.617510333124
Serradilla,33,1660.4401259758445
Torreorgaz,41,18176.03946443665
Pinofranqueado,21,14808.151091448535
Zorita,45,19600.28374934257
Gata,31,6870.698527391379
Alcántara,24,15653.582632379288
Guijo de Galisteo,25,4526.31479095092
Piornal,22,12022.796984810511
Ahigal,25,20800.63896164581
Peraleda de la Mata,34,10203.84444013285
Navas del Madro¤o,44,12013.724814782694
Nuñomoral,21,4255.982502024241
Valdefuentes,41,6365.09809945201
Zarza la Mayor,24,6984.960019326748
Casatejada,35,1057.0612454773568
Casar de Palomero,21,11661.809324891634
Jerte,22,3383.95947197688
Almaraz,37,983.4798673839592
Majadas,35,7363.519403621555
Cañaveral,30,1610.2858552541445
Rosalejo,27,13472.51264202359
Caminomorisco,21,10383.883077481849
Riolobos,30,15505.010654409904
Casta¤ar de Ibor,42,1695.604318571423
Tornavacas,22,9649.3499219698
Torrecillas de la Tiesa,40,13214.130814674189
Pesga. La,21,7476.301023564718
Carcaboso,29,8892.388958264477
Garganta la Olla,26,9766.77257457366
Torremocha,41,12813.225490485973
Eljas,20,24438.56204978513
Campo Lugar,36,11427.319890857978
Al¡a,45,26174.025461740926
Arroyomolinos,41,5055.483956900703
Monroy,33,21777.10908562233
Torno. El,23,14322.686959344876
Cumbre. La,19,10567.003584538885
Hoyos,20,14526.576842882252
Mohedas de Granadilla,21,13521.455979529428
Perales del Puerto,20,11830.765635950713
Talav n,30,11503.561878726729
San Martín de Trevejo,20,21561.6702646914
Cuacos de Yuste,28,6862.607009583779
Tejeda de Tiétar,26,9898.923104984317
Acehúche,24,14437.06024918586
Escurial,36,1370.087884870536
Garciaz,45,15767.218168747631
Membrío,39,19676.24975836937
Deleitosa,42,18111.14648102235
Santibáñez el Bajo,25,17461.596159566805
Saucedilla,35,4856.073682651335
Aldeanueva del Camino,23,577.3817666733554
Albalá,41,3052.972311394364
Aldeacentenera,40,19804.4193632345
Casas del Monte,23,7487.486940701435
Valdeobispo,25,10673.82814002655
Holguera,30,12080.71724205791
Mirabel,33,10439.875515780264
Aldea del Cano,41,14189.116902632792
Baños de Montemayor,23,8156.797554149127
Navezuelas,42,13299.67565016626
Casas de Millán,30,4703.5596131421335
Salorino,39,20658.62619643901
Torrecilla de los Ángeles,31,9239.961874245764
Acebo,20,17744.29223587298
Santiago de Alcántara,39,21221.21621017572
Pasarón de la Vera,26,6490.492971229924
Villamiel,20,18507.396341966763
Villar del Pedroso,42,22228.37196587487
Belvís de Monroy,37,6583.034663451048
Casas del Castañar,22,15465.778658437011
Torre de Santa María,41,5479.366771094007
Guijo de Granadilla,29,21025.916153106205
Torremenga,26,3021.9048427077173
Zarza de Montánchez,41,12503.93132163728
Aceituna,25,9709.826305581346
Torrejón el Rubio,33,11054.636693149245
Torrequemada,41,15650.38657409956
Jaraicejo,37,19226.83555656172
Valverde de la Vera,28,12863.92354244124
Torre de Don Miguel,31,6548.229459226297
Pozuelo de Zarzón,25,9773.428966490452
Villa del Campo,25,9605.555965215715
