X,Y,NOMBRE,
155505.148063854,4310470.30608031,Badajoz
210319.21047598,4312875.91837714,MÃ©rida
252050.169299434,4315925.95363666,Don Benito
203721.564491683,4287243.42546669,Almendralejo
257849.900671816,4317825.92358517,Villanueva de la Serena
201847.920808549,4258592.18314402,Zafra
186766.597483422,4313024.53822166,Montijo
209247.25161592,4273648.10366513,Villafranca de los Barros
143404.630412509,4289694.979563,Olivenza
170493.580131816,4248300.57577643,Jerez de los Caballeros
266049.886758429,4237928.18746664,Azuaga
204931.777645182,4261298.41113205,"Santos de Maimona, Los"
231202.643063752,4305786.70120732,GuareÃ±a
199582.916446467,4269969.0179768,Fuente del Maestre
278869.083622126,4289076.83871633,Castuera
206421.987731058,4310024.83393333,Calamonte
236143.714147699,4236514.258661,Llerena
185643.111103803,4311193.18816829,Puebla de la Calzada
143733.891280018,4365090.26743444,San Vicente de AlcÃ¡ntara
154844.602490127,4349038.68188599,Alburquerque
196714.636682311,4283592.04238566,Aceuchal
157364.687715438,4243838.30574681,Oliva de la Frontera
173129.346153978,4310011.6819908,Talavera la Real
307047.81003993,4288277.01097829,Cabeza del Buey
273049.268621743,4304926.36582296,Campanario
180193.808195302,4230892.23086217,Fregenal de la Sierra
267899.56553466,4291626.71595212,Quintana de la Serena
210576.519256137,4238675.90281686,Fuente de Cantos
286648.544033966,4329925.74332166,Navalvillar de Pela
213224.044346896,4220761.73252889,Monesterio
239518.868352074,4322476.23005031,Santa Amalia
184421.852048258,4280386.3707078,Santa Marta
200375.713925654,4306512.83471976,Arroyo de San ServÃ¡n
153871.708078802,4287904.90080638,Valverde de LeganÃ©s
268699.575412305,4281526.99142701,Zalamea de la Serena
232844.58286239,4272004.56580725,Hornachos
164583.377887839,4269949.74146194,Barcarrota
323046.866434995,4337525.72681164,Herrera del Duque
136128.896590036,4255754.61635045,Villanueva del Fresno
306821.661471904,4323494.03637111,Talarrubias
220951.068092139,4301549.95986298,"Zarza, La"
218028.792754119,4272121.48311273,Ribera del Fresno
186427.125312274,4254283.19671764,Burguillos del Cerro
280448.872765263,4320425.98257526,Orellana la Vieja
154558.043961957,4250039.7360852,ZahÂ¡nos
203236.941544727,4255293.45361998,Puebla de Sancho Pâ€šrez
192628.756595015,4292382.91168752,Solana de los Barros
179119.796748155,4311121.52191737,Valdelacalzada
185833.310338901,4306467.35070999,LobÃ³n
287148.775343739,4274027.30723098,Monterrubio de la Serena
189675.859134885,4219378.23330193,Fuentes de LeÃ³n
198539.938044477,4313652.36502644,"Garrovilla, La"
252650.474433837,4241128.02990056,Berlanga
176793.013622453,4227933.7002794,Higuera la Real
167542.663595038,4338566.28989181,Villar del Rey
273049.541257479,4243628.07080504,Granja de Torrehermosa
243950.53556185,4316925.87894331,MedellÂ¡n
219443.46491441,4244013.63346861,Bienvenida
139734.35554601,4348134.85537526,"Codosera, La"
196205.065608124,4241213.64596825,Valencia del Ventoso
268599.447152557,4311326.17069941,"Coronada, La"
206697.645517188,4298978.53842531,TorremejÂ¡a
322546.984187536,4316376.31409884,Siruela
153287.045855984,4262862.96744994,Higuera de Vargas
190656.301240721,4225230.53342205,Segura de LeÃ³n
169863.663790317,4269404.11659907,SalvaleÃ³n
174503.538437169,4315036.37176893,Pueblonuevo del Guadiana
217966.889248342,4298087.44004889,Alange
186736.392813196,4342911.20828484,Puebla de Obando
167736.085267601,4292512.54141989,"Albuera, La"
223458.597186722,4250267.30977057,Usagre
333046.431007462,4333425.89643132,Fuenlabrada de los Montes
145191.636633673,4271016.32766759,Alconchel
228900.929205502,4298220.74069683,Oliva de MÃ©rida
178721.064239294,4266819.64927304,Salvatierra de los Barros
194612.591293342,4279819.31539555,Villalba de los Barros
298747.997151436,4330925.78555651,Casas de Don Pedro
202274.773257213,4316313.78985354,Esparragalejo
218601.742519996,4227961.0489293,MontemolÃ­n
181228.02521265,4335453.55515984,"Roca de la Sierra, La"
253200.344357668,4265427.35573756,Campillo de Llerena
200108.096565672,4221009.17211816,Cabeza la Vaca
256899.892457757,4329175.6024318,Villar de Rena
217635.776352278,4316503.63598875,Trujillanos
256770.086678079,4287426.76408689,Valle de la Serena
184244.369114037,4270008.86006424,"Parra, La"
215349.757680452,4322268.24643587,Mirandilla
257269.955357967,4311626.10215401,"Haba, La"
222733.144718811,4306544.74259423,Villagonzalo
189381.716188934,4268830.82719124,Feria
201954.859122503,4249461.92266417,Medina de las Torres
234068.148568638,4312012.22747101,Valdetorres
167409.247159862,4280948.85713938,Almendral
181123.314786399,4292787.19755654,Corte de Peleas
126861.594089967,4271511.87340683,Cheles
304747.787391049,4317726.18376403,Puebla de Alcocer
169648.950744681,4281454.13961979,Torre de Miguel Sesmero
311177.365142787,4346075.42409472,Valdecaballeros
316497.339563731,4299026.76612878,PeÃ±alsordo
169100.865605342,4253406.09905679,Valle de Santa Ana
220789.401334391,4312035.46156158,Valverde de MÃ©rida
319896.947148144,4350625.34531156,Castilblanco
188247.87230358,4228294.37775305,Bodonal de la Sierra
196892.451748007,4329703.97455812,"Nava de Santiago, La"
273349.366874407,4281177.0289042,Esparragosa de la Serena
252300.451872141,4250477.77037682,Maguilla
207555.919285026,4223013.20623579,Calera de LeÃ³n
249400.634213316,4238628.07790323,Ahillones
261549.900673448,4281126.97414319,Higuera de la Serena
303447.849131883,4316626.20507748,Esparragosa de Lares
193403.41925182,4311784.94700223,Torremayor
230851.198602885,4242971.17940474,VillagarcÃ­a de la Torre
203220.290435113,4338961.01819424,Cordobilla de LÃ¡cara
283108.902471605,4286576.93830036,Benquerencia de la Serena
233412.833084715,4259991.49764378,Llera
223983.262323626,4316084.95195536,San Pedro de MÃ©rida
210057.669460203,4244573.87193963,Calzadilla de los Barros
230165.878876168,4284206.44688934,Puebla de la Reina
275659.04898293,4328475.72110089,Acedera
150141.420061748,4272147.56876966,TÃ¡liga
139569.318114953,4240931.60676457,Valencia del Mombuey
230154.15928455,4219866.44339936,Puebla del Maestre
237735.977024441,4300746.69445125,Manchita
181743.226267398,4272859.92165057,"Morera, La"
246350.817688772,4226678.3835443,Fuente del Arco
215924.624506303,4305138.48413944,Don Ãlvaro
196554.636944378,4255829.19741158,Alconera
173664.497412427,4277680.81260759,Nogales
335556.230971104,4353315.35167669,Helechosa de los Montes
253110.484706801,4233428.23321664,Valverde de Llerena
227488.109463734,4287388.78472634,Palomas
237821.182993814,4231358.21735097,Trasierra
237793.73442067,4254945.70489405,Valencia de las Torres
322497.035622686,4305626.62060681,Garlitos
257149.89155388,4326605.6779018,Rena
270449.478434479,4284076.93406681,Malpartida de la Serena
276349.313082905,4261577.58989138,Peraleda del Zaucejo
263049.710176429,4308926.20042429,Magacela
177276.286706572,4292237.39490415,EntrÃ­n Bajo
345438.831755784,4342153.71911201,Villarta de los Montes
211568.112826852,4339360.43647563,Carmonita
231126.84850758,4303386.30007753,Cristina
222290.457466017,4264325.46575369,Hinojosa del Valle
327246.742800876,4324276.12668639,Garbayuela
221552.582814066,4274046.07325644,Puebla del Prior
252850.320044944,4273827.12227472,Retamal de Llerena
245900.459149506,4313795.97574382,Mengabril
264050.042812532,4222928.581465,Malcocinado
167913.569871452,4254887.61817503,Valle de Matamoros
312897.505378877,4297676.79066143,Zarza-Capilla
238151.082715089,4251827.6561949,Higuera de Llerena
334576.455120106,4313776.45501871,Baterno
196455.892130757,4248616.72105768,Atalaya
190992.51821022,4248170.12000351,Valverde de Burguillos
283948.69779355,4323275.91457814,Orellana de la Sierra
193001.626906219,4262076.84619949,"Lapa, La"
331446.57499916,4317826.32319584,Tamurejo
211840.269404487,4327111.57203259,AljucÃ©n
314047.395592809,4310856.42171211,Sancti-SpÃ­ritus
241951.000169711,4230628.25275545,Reina
240051.075676744,4232528.18788725,Casas de Reina
319217.218628472,4298938.78399716,Capilla
316147.308964447,4309126.48913831,Risco
211231.484859327,4324725.7016114,"Carrascalejo, El"
209931.265405466,4375060.50578505,CÂ ceres
236452.023540043,4435654.78131379,Plasencia
282748.322160822,4418923.20248728,Navalmoral de la Mata
198208.225088929,4431998.57932882,Coria
248850.221863826,4337725.31666395,Miajadas
252149.923161933,4371824.37487833,Trujillo
277348.524341814,4428622.89287009,Talayuela
188032.678076841,4441711.30289468,Moraleja
191995.938011372,4376758.45163021,Arroyo de la Luz
265099.037928359,4438122.55310308,JaraÂ¡z de la Vera
134848.214153567,4371239.38864991,Valencia de AlcÂ ntara
214541.463959952,4442978.89011619,Montehermoso
206558.428001299,4384610.16715891,Casar de CÃ¡ceres
239985.232530875,4430084.12087274,Malpartida de Plasencia
198418.407841524,4372318.94043278,Malpartida de CÃ¡ceres
256899.297373708,4462121.82189268,HervÃ¡s
203771.846229836,4422297.93994547,Torrejoncillo
273548.619114794,4445422.39709535,Jarandilla de la Vera
