s,predicted_rate,ci_lower,ci_upper,observed_rate,within_ci
0.05,0.08763088956442229,0.059312888039414195,0.11594889108943038,0.1514360313315927,False
0.055,0.09478035651036264,0.06544543991013417,0.1241152731105911,0.1514360313315927,False
0.06,0.10163986240275835,0.07137728071432878,0.13190244409118793,0.1514360313315927,False
0.065,0.1082322213667247,0.0771184340831471,0.1393460086503023,0.1514360313315927,False
0.07,0.11458124207816683,0.0826820395363376,0.14648044461999607,0.1514360313315927,False
0.075,0.12070966015758863,0.08808200462423456,0.15333731569094272,0.1514360313315927,True
0.08,0.12663790103770065,0.09333149851387601,0.15994430356152528,0.1514360313315927,True
0.08499999999999999,0.13238357754354355,0.09844218608716333,0.16632496899992377,0.1514360313315927,True
0.09,0.13796149950167363,0.10342399230181616,0.17249900670153112,0.1514360313315927,True
0.095,0.14338396919070948,0.10828518264553383,0.17848275573588512,0.1514360313315927,True
0.09999999999999999,0.1486611906207568,0.11303259342166108,0.18428978781985253,0.1514360313315927,True
0.105,0.1538016858987324,0.11767190483165703,0.18993146696580776,0.1514360313315927,True
0.10999999999999999,0.15881266478703426,0.12220789892841608,0.19541743064565245,0.1514360313315927,True
0.11499999999999999,0.16370032802039505,0.12664467747683136,0.20075597856395874,0.1514360313315927,True
0.12,0.1684701039115501,0.13098583369666603,0.20595437412643416,0.1514360313315927,True
0.12499999999999999,0.17312682646783872,0.13523458124256565,0.2110190716931118,0.1514360313315927,True
0.13,0.17767486608052116,0.1393938475279195,0.21595588463312282,0.1514360313315927,True
0.135,0.1821182237388075,0.14346633927418825,0.22077010820342677,0.1514360313315927,True
0.13999999999999999,0.18646059832101888,0.14745458752509372,0.22546660911694405,0.1514360313315927,True
0.145,0.19070543470009577,0.15136097815736574,0.2300498912428258,0.1514360313315927,True
0.15,0.1948559586036348,0.1551877725909166,0.23452414461635301,0.1514360313315927,False
