Municipality,Plant,NetworkDistance,EuclideanDistance,Ratio,Note
Hervás,22,30217.2119261,5530.491995688884,5.463747520049726,Different_assignment_net
Torrejoncillo,32,36498.8907198,5453.501930441895,6.692743705848934,Different_assignment_euc
Torrejoncillo,29,36498.8907198,5453.501930441895,6.692743705848934,Different_assignment_net
Valverde del Fresno,20,47376.3029691,26658.177754455533,1.777177097604945,Different_assignment_euc
Valverde del Fresno,31,47376.3029691,26658.177754455533,1.777177097604945,Different_assignment_net
Garrovillas de Alconétar,30,27803.8620214,17571.93704114491,1.582287823835068,Different_assignment_euc
Garrovillas de Alconétar,44,27803.8620214,17571.93704114491,1.582287823835068,Different_assignment_net
Aliseda,44,32412.6044371,21401.042694570595,1.5145338897586993,Different_assignment_euc
Aliseda,46,32412.6044371,21401.042694570595,1.5145338897586993,Different_assignment_net
Madrigalejo,36,40595.617573,23231.277452799444,1.7474552424196585,Different_assignment_euc
Madrigalejo,45,40595.617573,23231.277452799444,1.7474552424196585,Different_assignment_net
Cilleros,20,36742.6365574,13208.346987056766,2.7817740246682763,Different_assignment_euc
Cilleros,31,36742.6365574,13208.346987056766,2.7817740246682763,Different_assignment_net
Torreorgaz,41,24301.743199,18176.03946443665,1.3370208205450336,Different_assignment_euc
Torreorgaz,46,24301.743199,18176.03946443665,1.3370208205450336,Different_assignment_net
Alcántara,24,18093.6657855,15653.582632379288,1.1558801719980334,Different_assignment_euc
Alcántara,44,18093.6657855,15653.582632379288,1.1558801719980334,Different_assignment_net
Piornal,22,24370.0133986,12022.796984810511,2.026983690183644,Different_assignment_euc
Piornal,26,24370.0133986,12022.796984810511,2.026983690183644,Different_assignment_net
Ahigal,25,26839.3747823,20800.63896164581,1.2903149192574797,Different_assignment_euc
Ahigal,23,26839.3747823,20800.63896164581,1.2903149192574797,Different_assignment_net
Rosalejo,27,27305.9254238,13472.51264202359,2.0267878865169586,Different_assignment_euc
Rosalejo,34,27305.9254238,13472.51264202359,2.0267878865169586,Different_assignment_net
Riolobos,30,21348.5184237,15505.010654409904,1.3768786684211725,Different_assignment_euc
Riolobos,29,21348.5184237,15505.010654409904,1.3768786684211725,Different_assignment_net
Eljas,20,48340.4084688,24438.56204978513,1.9780381664978124,Different_assignment_euc
Eljas,31,48340.4084688,24438.56204978513,1.9780381664978124,Different_assignment_net
Torno. El,23,27644.0311796,14322.686959344876,1.9300869493320578,Different_assignment_euc
Torno. El,22,27644.0311796,14322.686959344876,1.9300869493320578,Different_assignment_net
Hoyos,20,25783.6229247,14526.576842882252,1.774927651818638,Different_assignment_euc
Hoyos,31,25783.6229247,14526.576842882252,1.774927651818638,Different_assignment_net
Perales del Puerto,20,25448.2233326,11830.765635950713,2.15102083125282,Different_assignment_euc
Perales del Puerto,31,25448.2233326,11830.765635950713,2.15102083125282,Different_assignment_net
San Martín de Trevejo,20,46388.7862436,21561.6702646914,2.15144678840417,Different_assignment_euc
San Martín de Trevejo,31,46388.7862436,21561.6702646914,2.15144678840417,Different_assignment_net
Cuacos de Yuste,28,11322.1571708,6862.607009583779,1.6498332419426558,Different_assignment_euc
Cuacos de Yuste,26,11322.1571708,6862.607009583779,1.6498332419426558,Different_assignment_net
Garciaz,45,34366.4648052,15767.218168747631,2.1796149731293837,Different_assignment_euc
Garciaz,19,34366.4648052,15767.218168747631,2.1796149731293837,Different_assignment_net
Santibáñez el Bajo,25,30573.1330807,17461.596159566805,1.7508784879296209,Different_assignment_euc
Santibáñez el Bajo,23,30573.1330807,17461.596159566805,1.7508784879296209,Different_assignment_net
Saucedilla,35,5793.6562871,4856.073682651335,1.193074212979561,Different_assignment_euc
Saucedilla,37,5793.6562871,4856.073682651335,1.193074212979561,Different_assignment_net
Aldeacentenera,40,35411.321204,19804.4193632345,1.7880514724778351,Different_assignment_euc
Aldeacentenera,19,35411.321204,19804.4193632345,1.7880514724778351,Different_assignment_net
Valdeobispo,25,19056.0859796,10673.82814002655,1.785309425035637,Different_assignment_euc
Valdeobispo,29,19056.0859796,10673.82814002655,1.785309425035637,Different_assignment_net
Holguera,30,25914.8423044,12080.71724205791,2.1451410363434262,Different_assignment_euc
Holguera,29,25914.8423044,12080.71724205791,2.1451410363434262,Different_assignment_net
Aldea del Cano,41,29619.2696396,14189.116902632792,2.0874639234316366,Different_assignment_euc
Aldea del Cano,46,29619.2696396,14189.116902632792,2.0874639234316366,Different_assignment_net
Baños de Montemayor,23,38356.7927253,8156.797554149127,4.702432844589726,Different_assignment_euc
Baños de Montemayor,22,38356.7927253,8156.797554149127,4.702432844589726,Different_assignment_net
Navezuelas,42,33337.9782234,13299.67565016626,2.5066760348387325,Different_assignment_euc
Navezuelas,45,33337.9782234,13299.67565016626,2.5066760348387325,Different_assignment_net
Acebo,20,27681.7909556,17744.29223587298,1.560039171336276,Different_assignment_euc
Acebo,31,27681.7909556,17744.29223587298,1.560039171336276,Different_assignment_net
Villamiel,20,38401.6876267,18507.396341966763,2.0749373340874313,Different_assignment_euc
Villamiel,31,38401.6876267,18507.396341966763,2.0749373340874313,Different_assignment_net
Villar del Pedroso,42,49609.5430012,22228.37196587487,2.2318118068818027,Different_assignment_euc
Villar del Pedroso,34,49609.5430012,22228.37196587487,2.2318118068818027,Different_assignment_net
Belvís de Monroy,37,11493.7538129,6583.034663451048,1.7459658653649848,Different_assignment_euc
Belvís de Monroy,34,11493.7538129,6583.034663451048,1.7459658653649848,Different_assignment_net
Casas del Castañar,22,27261.9764648,15465.778658437011,1.7627289945681353,Different_assignment_euc
Casas del Castañar,29,27261.9764648,15465.778658437011,1.7627289945681353,Different_assignment_net
Guijo de Granadilla,29,25566.8397761,21025.916153106205,1.2159679316671752,Different_assignment_euc
Guijo de Granadilla,23,25566.8397761,21025.916153106205,1.2159679316671752,Different_assignment_net
Plasenzuela,19,29174.0672986,17218.687581036513,1.694325839951375,Different_assignment_euc
Plasenzuela,41,29174.0672986,17218.687581036513,1.694325839951375,Different_assignment_net
Villanueva de la Sierra,31,18672.2166128,12478.860085144168,1.4963078747095575,Different_assignment_euc
Villanueva de la Sierra,25,18672.2166128,12478.860085144168,1.4963078747095575,Different_assignment_net
Garganta. La,23,44700.1641144,11306.4723927699,3.9535022561930298,Different_assignment_euc
Garganta. La,22,44700.1641144,11306.4723927699,3.9535022561930298,Different_assignment_net
Casillas de Coria,20,17448.3347193,9380.915089935264,1.8599821608043579,Different_assignment_euc
Casillas de Coria,32,17448.3347193,9380.915089935264,1.8599821608043579,Different_assignment_net
Valdelacasa de Tajo,42,41075.3962838,16812.977447394776,2.4430768679919193,Different_assignment_euc
Valdelacasa de Tajo,34,41075.3962838,16812.977447394776,2.4430768679919193,Different_assignment_net
Palomero,21,31917.6789183,17307.945081603146,1.844105627087166,Different_assignment_euc
Palomero,25,31917.6789183,17307.945081603146,1.844105627087166,Different_assignment_net
Robledillo de Trujillo,36,23422.6469199,14204.48833736106,1.6489609737151227,Different_assignment_euc
Robledillo de Trujillo,41,23422.6469199,14204.48833736106,1.6489609737151227,Different_assignment_net
Villamesías,36,14914.6615299,9728.218970219412,1.533133821880205,Different_assignment_euc
Villamesías,43,14914.6615299,9728.218970219412,1.533133821880205,Different_assignment_net
Santiago del Campo,46,25411.971935,13534.977889247635,1.8775037641685108,Different_assignment_euc
Santiago del Campo,30,25411.971935,13534.977889247635,1.8775037641685108,Different_assignment_net
Peraleda de San Román,42,29942.6213366,12876.66485330482,2.325339804810962,Different_assignment_euc
Peraleda de San Román,34,29942.6213366,12876.66485330482,2.325339804810962,Different_assignment_net
Portezuelo,30,15404.6667939,8963.644759146018,1.7185717649265284,Different_assignment_euc
Portezuelo,32,15404.6667939,8963.644759146018,1.7185717649265284,Different_assignment_net
Cerezo,21,30463.7482532,17178.14233237469,1.7734017837182934,Different_assignment_euc
Cerezo,23,30463.7482532,17178.14233237469,1.7734017837182934,Different_assignment_net
Mesas de Ibor,37,27388.2788358,13199.205777947926,2.0749944577391113,Different_assignment_euc
Mesas de Ibor,34,27388.2788358,13199.205777947926,2.0749944577391113,Different_assignment_net
Gargüera,26,25136.1754149,15451.83158367996,1.6267440710037593,Different_assignment_euc
Gargüera,29,25136.1754149,15451.83158367996,1.6267440710037593,Different_assignment_net
Valdecañas de Tajo,37,36125.4541537,7892.089538057373,4.577425785591407,Different_assignment_euc
Valdecañas de Tajo,34,36125.4541537,7892.089538057373,4.577425785591407,Different_assignment_net
Garvín,42,34280.1376132,12479.12968888813,2.746997464392431,Different_assignment_euc
Garvín,34,34280.1376132,12479.12968888813,2.746997464392431,Different_assignment_net
Campillo de Deleitosa,42,41006.7781391,14388.047901043325,2.8500584944623704,Different_assignment_euc
Campillo de Deleitosa,34,41006.7781391,14388.047901043325,2.8500584944623704,Different_assignment_net
