municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Casas del Castañar,639,24.63,25.94,CÂ ceres,29,Plasencia,27.26,319.5,8710.2,9.54,5.31,4.96,14.85
Orellana la Vieja,3015,37.05,81.38,Badajoz,3,Don Benito,25.73,1507.5,38792.47,9.01,5.83,5.48,14.84
Casillas de Coria,470,61.97,7.58,CÂ ceres,20,Moraleja,17.45,235.0,4100.36,6.11,8.73,8.38,14.84
Aliseda,1982,80.51,24.62,CÂ ceres,46,Cáceres,32.41,991.0,32120.89,11.34,3.49,3.14,14.83
Valdemorales,230,9.89,23.26,CÂ ceres,41,Montánchez,17.21,115.0,1979.61,6.02,8.8,8.45,14.82
Caminomorisco,1258,147.06,8.55,CÂ ceres,21,Nuñomoral,15.53,629.0,9771.42,5.44,9.38,9.03,14.82
Tejeda de Tiétar,887,52.83,16.79,CÂ ceres,22,Cabezuela del Valle,17.04,443.5,7556.07,5.96,8.81,8.46,14.78
Salvatierra de Santiago,302,33.4,9.04,CÂ ceres,41,Montánchez,16.92,151.0,2555.41,5.92,8.8,8.45,14.72
Albuera. La,1986,26.37,75.31,Badajoz,4,Talavera la Real,22.47,993.0,22308.11,7.86,6.83,6.48,14.7
Táliga,801,31.31,25.58,Badajoz,13,Olivenza,23.14,400.5,9266.41,8.1,6.59,6.24,14.68
Zarza. La,3563,63.19,56.39,Badajoz,14,Mérida,30.39,1781.5,54132.68,10.64,4.03,3.68,14.67
Villasbuenas de Gata,456,46.83,9.74,CÂ ceres,31,Cadalso,16.53,228.0,3769.32,5.79,8.81,8.46,14.6
Puerto de Santa Cruz,393,33.72,11.65,CÂ ceres,19,Trujillo,16.29,196.5,3201.66,5.7,8.81,8.46,14.51
Alconchel,1951,294.95,6.61,Badajoz,13,Olivenza,22.27,975.5,21728.27,7.8,6.59,6.24,14.38
