origin,beta_max,beta_min,beta_mean,beta_median,n_dest,alpha,alpha_near,municipio,misallocated,utm_x,utm_y
Cabezabellosa,3.245330820817984,1.1582781595771843,1.4524591113057272,1.3055156634740879,42,2.801857907778088,2.135673005839767,Cabezabellosa,0,244313.818262083,4447431.83873398
Viandar de la Vera,3.335455581474012,1.2059778930688827,1.4298108344512794,1.2970408492680763,42,2.7657684279652863,2.195911184275661,Viandar de la Vera,0,284048.141199521,4444472.47617997
Talaveruela de la Vera,3.190095045485332,1.2064872359652257,1.4195664479071568,1.3017267760252496,42,2.6441183548312974,2.075062727860313,Talaveruela de la Vera,0,285548.073028635,4444422.48734023
Casillas de Coria,2.832255772071906,1.0877192661907686,1.3421369037210247,1.2573213765993365,42,2.603848125252544,2.170422905210791,Casillas de Coria,0,189584.538383011,4430524.07910796
Barrado,3.001330016220077,1.158426622413938,1.3988616220483272,1.2924757544143746,42,2.590867611420984,2.2275198769818023,Barrado,0,254449.50373271,4441322.40490999
Riolobos,2.8348866896214853,1.1036320186398327,1.3257505608619955,1.272040877290228,42,2.5686883324709364,2.4279687475248086,Riolobos,1,217694.090615177,4424318.47668145
Madrigalejo,2.8718109736139286,1.1311550459909818,1.563125711401948,1.3911008392125601,42,2.53883053768106,1.574421772763655,Madrigalejo,1,273049.132765184,4335625.51579502
Valverde de la Vera,3.016659759191362,1.205830756785046,1.4046706892869487,1.2991135478596934,42,2.50172732965802,1.9873078423762478,Valverde de la Vera,0,287607.981058062,4444522.49170646
Pedroso de Acim,2.7829732657379305,1.126705799179365,1.3783263409586173,1.2499618091751281,42,2.4700088237452102,2.313076033469149,Pedroso de Acim,0,208092.61805233,4414085.9639105
Casatejada,2.641389564709311,1.0809649170437667,1.3349313385442625,1.2132691117378798,42,2.4435479108175024,2.298638281279632,Casatejada,0,270898.858206115,4418723.14329532
Collado,2.843887411845491,1.1758810781259166,1.373892849422628,1.2317584362760776,42,2.4185161788452216,2.169559709743986,Collado,0,268048.90322305,4437852.57598165
"Lapa, La",2.6306605325077914,1.08889563581471,1.3081263585766003,1.2477845486718717,42,2.415897764655412,2.12266469134905,,0,,
Villanueva de la Vera,2.891951195774503,1.2103548618014728,1.4037837148524095,1.2969490993302475,42,2.3893415782790917,1.993532773247645,Villanueva de la Vera,0,290247.857914501,4445122.49891764
Majadas,2.6029143331299105,1.0990147518581006,1.342334344453958,1.2269117279830473,42,2.368407092561016,2.308777015001458,Majadas,0,265549.071751549,4425072.93528023
Villar de Plasencia,2.6451214174015076,1.120795792137258,1.3354307983435185,1.2257283633009863,42,2.360038676053107,2.2733913437190956,Villar de Plasencia,0,242172.16349191,4447626.81133641
Gata,2.6850522581769773,1.1628130395078962,1.3523591259583139,1.2974670131139052,42,2.3091005750273443,2.0737859938520913,Gata,0,194218.240938159,4460498.88488964
Torremenga,2.726125318844592,1.1876994974712516,1.3560367624497285,1.2389838609177337,42,2.2952988737040183,2.149816722031517,Torremenga,0,263499.114225348,4436772.58027036
Villar de Rena,2.3307708034988193,1.0201669101463753,1.352968822212375,1.224915719995944,42,2.284695553558384,1.0116138277447184,Villar de Rena,1,256899.892457757,4329175.6024318
Cachorrilla,2.5174505490507104,1.1102126353727182,1.336375726386003,1.2782137953659873,42,2.2675390901181354,2.2675390901181354,Cachorrilla,0,186552.034620882,4424961.46299167
Galisteo,2.3731991472387475,1.049771139192739,1.3235361241374355,1.2821001038159507,42,2.260682408418761,2.075347674894379,Galisteo,0,221164.977574718,4430450.7841439
"Haba, La",2.3226782747946118,1.0294778230037651,1.294809145694995,1.2208146154685533,42,2.2561712577912587,1.9511524918645256,,0,,
Aldeacentenera,2.634348526134727,1.1880129056439686,1.5122078537850479,1.2920053877379125,42,2.2174410005308527,1.661052479663563,Aldeacentenera,0,274048.898763263,4378694.3022978
Ladrillar,2.71310537442424,1.232568604946321,1.4944918671491776,1.3715310741615534,42,2.2011800102132226,1.7331450072223478,Ladrillar,0,226733.417898618,4484520.67774013
Pescueza,2.4465538846980004,1.1166506138507724,1.3324284929060664,1.2719949646195277,42,2.1909752740483914,2.1427929851675707,Pescueza,0,188475.89405234,4425233.08701363
Villarta de los Montes,3.1737521176054777,1.4505394394981517,1.9786255019710528,1.9372242334693346,42,2.1879805754909443,1.6555713739869276,Villarta de los Montes,0,345438.831755784,4342153.71911201
Magacela,2.356516179308102,1.0795360907423146,1.3232682837224077,1.2351247172095916,42,2.1828970791404534,1.9365458005605167,Magacela,0,263049.710176429,4308926.20042429
Manchita,2.3981623821976235,1.0989403524848087,1.4193458531619842,1.352864311715964,42,2.1822498161753274,1.5521751093362142,Manchita,0,237735.977024441,4300746.69445125
"Pesga, La",2.5776832838108508,1.1818581740993428,1.3865605851541702,1.2826385533884748,42,2.1810428190973274,1.793273291121386,,0,,
Arroyomolinos de la Vera,2.5076845791329423,1.163405839960509,1.3829065810865633,1.3057877836835297,42,2.1554684470365597,1.9559617354234866,Arroyomolinos de la Vera,0,256589.422105721,4437722.52246913
Holguera,2.3747470669876627,1.1125680703050644,1.342431621082707,1.287356504697723,42,2.134473503573144,2.0844379521407284,Holguera,1,213780.071295096,4422025.3804551
Puebla del Prior,2.4224771619739722,1.1379154316732503,1.3175297580797054,1.2710916441669615,42,2.1288727567494496,2.032702271266088,Puebla del Prior,0,221552.582814066,4274046.07325644
Madrigal de la Vera,2.582908081926353,1.2247542157001754,1.403993756305773,1.3102239161534524,42,2.1089195275394412,1.9142763083320478,Madrigal de la Vera,0,298347.486994959,4446922.49168506
Robledillo de Trujillo,2.2712181421361533,1.0801823448498002,1.3909566136561213,1.3339835703547709,41,2.1026247586484734,1.1797880434947918,Robledillo de Trujillo,1,243050.424371173,4350924.91327921
Talayuela,2.4330902787659645,1.1705158885804703,1.3765564911554695,1.271387669029275,42,2.0786478017967505,1.7675744565408182,Talayuela,0,277348.524341814,4428622.89287009
Ibahernando,2.2000675236922227,1.0612240640136221,1.3953958151085286,1.3385556162338461,41,2.073141382953018,2.073141382953018,Ibahernando,0,248550.150480377,4357024.77379878
