municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,log_beta,log_beta_pred,residual,log_beta_loocv_pred,beta_loocv_pred
Badajoz,18,18,4914.254786676754,18,18,10401.7981322,2.1166582897575354,0,badajoz,1.196824670617916,0.0845882218583983,1.0369552805447189,1.48778362831767,300.0,155505.148063854,4310470.30608031,0.7498385666337941,0.5870612392524287,0.1627773273813654,0.5870612392524287,1.7986947073341892
M̩rida,14,14,4150.340886195773,14,14,38409.2889034,9.254490162760144,0,marida,,,,,,210319.21047598,4312875.91837714,2.2251088567457993,0.5179392902569678,1.7071695664888313,0.5179392902569678,1.678565047867103
Don Benito,3,3,4663.700704458815,3,3,8110.5638814,1.7390832721417455,0,don benito,1.2513780135959585,0.1216866529273419,1.0533626683316424,2.231477756115725,300.0,252050.169299434,4315925.95363666,0.5533581192985766,0.5577930804144267,-0.004434961115850067,0.5577930804144267,1.746813167052739
Almendralejo,9,9,19458.87872222596,9,9,21513.8872336,1.105607755755567,0,almendralejo,1.215100764229584,0.0935342729439229,1.0468475097020564,1.741122245892243,300.0,203721.564491683,4287243.42546669,0.10039518898094635,0.3303354506902662,-0.22994026170931986,0.3303354506902662,1.3914348079522139
Villanueva de la Serena,17,3,7697.864914958575,3,3,17137.7734996,2.226302187545236,0,villanueva de la serena,1.265803567606359,0.1419649007433548,1.0477326652549228,2.555257425508873,300.0,257849.900671816,4317825.92358517,0.800341997253877,0.5024806077089958,0.29786138954488117,0.5024806077089958,1.652816178223993
Zafra,5,5,9058.518751144427,9,9,13791.7663832,1.5225189417925076,1,zafra,1.206491287646141,0.086789146925655,1.0397174872842183,1.8370437431386972,300.0,201847.920808549,4258592.18314402,0.42036616176754976,0.5044451086263257,-0.08407894685877598,0.5044451086263257,1.6560663285386634
Montijo,4,4,13315.474135449896,4,4,26089.832051,1.9593618511518736,0,montijo,1.2630088529645729,0.1195750016794181,1.0426427221602754,2.073401151786002,300.0,186766.597483422,4313024.53822166,0.6726188340807455,0.7280905177400897,-0.055471683659344184,0.7280905177400897,2.071122058658225
Villafranca de los Barros,1,1,9186.530554972544,2,1,9801.7286769,1.0669674060567358,0,villafranca de los barros,1.2177952598351185,0.0826077669045135,1.0483853480765282,1.6265864062968496,300.0,209247.25161592,4273648.10366513,0.06482042457725228,0.3729767876357223,-0.30815636305847,0.3729767876357223,1.4520506339133157
Olivenza,13,13,2540.5276381197345,13,13,3165.8605649,1.2461429340099917,0,olivenza,1.2350512887487677,0.0913733671554899,1.0465945693256744,1.6437719244923006,300.0,143404.630412509,4289694.979563,0.22005312807981323,0.3719030211280507,-0.15184989304823746,0.3719030211280507,1.4504923073643303
Jerez de los Caballeros,8,8,22237.440080135053,5,5,32114.5209711,1.4441644746594844,1,jerez de los caballeros,1.2486547865055615,0.0715369278859784,1.1045590378833732,1.553900704015507,300.0,170493.580131816,4248300.57577643,0.3675309361030372,0.4267866354072426,-0.05925569930420538,0.4267866354072426,1.5323256827971148
