origin_id,destination_id,total_cost
1,Alcuéscar,89899.8663561
1,Losar de la Vera,226904.4382981
1,Madroñera,129853.7524254
1,Valverde del Fresno,268230.3367120
1,Garrovillas de Alconétar,157627.5518596
1,Aldeanueva de la Vera,220195.4001658
1,Cabezuela del Valle,233165.8646806
1,Brozas,167310.1624096
1,Villanueva de la Vera,238089.5073258
1,Guadalupe,150254.7599737
1,Logrosán,130387.7862245
1,Sierra de Fuentes,131825.1149217
1,Navaconcejo,229854.3392680
1,Ceclavín,197067.5615124
1,Montánchez,99474.9453035
1,Almoharín,97677.7472568
1,Aliseda,141985.7493420
1,Galisteo,203178.0846249
1,Madrigalejo,129657.3666905
1,Cilleros,257596.6703003
1,Zarza de Granadilla,229839.2231977
1,Madrigal de la Vera,247571.0361034
1,Cañamero,142520.1673500
1,Serradilla,189994.4513201
1,Torreorgaz,124182.2692042
1,Pinofranqueado,236571.1742669
1,Zorita,109636.6779802
1,Gata,239001.4225941
1,Alcántara,183272.7018897
1,Guijo de Galisteo,213395.1534669
1,Piornal,229602.6364907
1,Ahigal,225792.6908255
1,Peraleda de la Mata,208301.8361263
1,Navas del Madro¤o,158076.3220652
1,Nuñomoral,262403.2498378
1,Valdefuentes,107907.4592381
1,Zarza la Mayor,207348.2424669
1,Casatejada,188451.9079152
1,Casar de Palomero,244559.3433221
1,Jerte,239087.8342065
1,Almaraz,179709.6846366
1,Majadas,197411.2893726
1,Cañaveral,165576.9830008
1,Rosalejo,215348.6695199
1,Caminomorisco,241082.4232648
1,Riolobos,187885.5798342
1,Casta¤ar de Ibor,178695.7641133
1,Tornavacas,246168.6933389
1,Torrecillas de la Tiesa,148750.6064658
1,"Pesga. La",247217.6404049
1,Carcaboso,207639.4951690
1,Garganta la Olla,218601.2829431
1,Torremocha,117094.7649861
1,Eljas,269194.4422117
1,Campo Lugar,96103.3807883
1,Al¡a,160395.8303346
1,Arroyomolinos,97636.5980311
1,Monroy,166060.6522783
1,"Torno. El",223282.1613313
1,"Cumbre. La",126880.9927799
1,Hoyos,246637.6566676
1,Mohedas de Granadilla,235452.3961681
1,Perales del Puerto,246302.2570755
1,Talav n,161908.6435759
1,San Martín de Trevejo,267242.8199865
1,Cuacos de Yuste,216554.7802629
1,Tejeda de Tiétar,222269.9875668
1,Acehúche,183648.5098494
1,Escurial,108376.6656252
1,Garciaz,131453.6914327
1,Membrío,175229.3025702
1,Deleitosa,167637.1315630
1,Santibáñez el Bajo,229526.4491240
1,Saucedilla,184292.4268719
1,Aldeanueva del Camino,231353.6683131
1,Albalá,101523.0623286
1,Aldeacentenera,146489.1875018
1,Casas del Monte,226692.4699289
1,Valdeobispo,212453.7979277
1,Holguera,192451.9037149
1,Mirabel,191362.5950621
1,Aldea del Cano,101686.6895652
1,Baños de Montemayor,275867.4125557
1,Navezuelas,163982.6854083
1,Casas de Millán,169665.0857342
1,Salorino,168188.5678049
1,Torrecilla de los Ángeles,226835.4005606
1,Acebo,248535.8246985
1,Santiago de Alcántara,197273.8379590
1,Pasarón de la Vera,218410.6575047
1,Villamiel,259255.7213696
1,Villar del Pedroso,207488.4114992
1,Belvís de Monroy,199239.4720493
1,Casas del Castañar,222057.8654113
1,Torre de Santa María,104642.8091762
1,Guijo de Granadilla,226966.6753612
1,Torremenga,212303.8168063
1,Zarza de Montánchez,108953.3133279
1,Aceituna,222628.0621065
1,Torrejón el Rubio,171322.7470300
1,Torrequemada,120937.1782698
1,Jaraicejo,170593.9557347
1,Valverde de la Vera,234995.4762710
1,Torre de Don Miguel,235064.0952580
1,Pozuelo de Zarzón,214860.2605855
1,Villa del Campo,213852.0507149
1,Plasenzuela,125952.6186426
1,Bohonal de Ibor,200875.5016103
1,Berzocana,148044.9963174
1,Casares de las Hurdes,270144.3615537
1,Hernán-Pérez,226786.4189919
1,Villanueva de la Sierra,221738.2957731
1,Cadalso,231378.0141178
1,Navalvillar de Ibor,171698.9516781
1,Arroyomolinos de la Vera,223055.8649730
1,Cedillo,218763.3343752
1,"Garganta. La",282210.7839448
1,Ibahernando,122339.5147545
1,Calzadilla,201301.8657208
1,Barrado,223881.9935703
1,Casillas de Coria,200192.3982052
1,Villasbuenas de Gata,237386.1419573
1,Valdelacasa de Tajo,215427.3368525
1,Abertura,102479.6302532
1,Palomero,235005.2635049
1,Serrejón,186508.6349366
1,Hinojal,155227.1473082
1,Gargantilla,233523.6774316
1,Santibáñez el Alto,232503.8924614
1,Cabañas del Castillo,163000.5859313
1,Robledillo de Trujillo,113817.4637558
1,Cabezabellosa,223200.9229213
1,Morcillo,205542.7195762
1,Portaje,188960.9373513
1,Guijo de Santa Bárbara,229821.4600991
1,Robledollano,181384.2232092
1,Puerto de Santa Cruz,110921.5702527
1,Herreruela,159187.4229251
1,Valdastillas,225398.8556225
1,Cabrero,223608.0353397
1,Herguijuela,121599.4139449
1,Talaveruela de la Vera,233870.0132732
1,"Granja. La",227341.4170535
1,"Aldea del Obispo. La",146434.5898613
1,Casas de Don Gómez,198637.9934289
1,Aldehuela de Jerte,211827.7951271
1,"Gordo. El",213523.6970986
1,Carrascalejo,200236.8406437
1,Mata de Alcántara,181915.7624287
1,Fresnedoso de Ibor,194420.2079663
1,Abadía,233978.5567546
1,Santa Cruz de Paniagua,225466.6490150
1,Villamesías,103153.8388526
1,Santa Marta de Magasca,145228.8851277
1,Santiago del Campo,156288.2550705
1,Robledillo de la Vera,222722.6719745
1,Salvatierra de Santiago,113701.7780769
1,Santa Ana,118175.9362798
1,Peraleda de San Román,210871.2713475
1,Oliva de Plasencia,210470.6088849
1,Herrera de Alcántara,220465.4676050
