NOMBRE,HBT,HBT5,INC,PORC,KM2,Densidad,CP,CA,PROVIN,AUTONOM,CAPITAL,Tnkm,Prod,Dist_km,Tn_km,Planta,C_Trans,C_Trat,C_Tot
Piornal,1537,1535,2,0.13,36.39,42.24,10,11,CÂ ceres,Extremadura,Piornal,6990.076,768.5,9.1,6990.08,PT Cabezuela del valle,3.18,7.36,10.55
Ahigal,1457,1605,-148,-9.22,52.07,27.98,10,11,CÂ ceres,Extremadura,Ahigal,15134.397,728.5,20.77,15134.4,PT Montehermoso,7.27,6.08,13.35
Peraleda de la Mata,1453,1515,-62,-4.09,92.06,15.78,10,11,CÂ ceres,Extremadura,Peraleda de la Mata,12010.879,726.5,16.53,12010.88,PT Navalmoral,5.79,2.28,8.06
Navas del Madro¤o,1444,1497,-53,-3.54,112.29,12.86,10,11,CÂ ceres,Extremadura,Navas del MadroÂ¤o,8671.95,722.0,12.01,8671.95,PT Brozas,4.2,13.13,17.34
Nu¤omoral,1435,1581,-146,-9.23,94.78,15.14,10,11,CÂ ceres,Extremadura,NuÂ¤omoral,3053.384,717.5,4.26,3053.38,PT Nuñomoral,1.49,8.42,9.91
Valdefuentes,1415,1552,-137,-8.83,27.14,52.14,10,11,CÂ ceres,Extremadura,Valdefuentes,4503.205,707.5,6.36,4503.2,PT Montanchez,2.23,2.58,4.8
Zarza la Mayor,1409,1536,-127,-8.27,170.28,8.27,10,11,CÂ ceres,Extremadura,Zarza la Mayor,6446.586,704.5,9.15,6446.59,PT Ceclavín,3.2,12.12,15.33
Casatejada,1399,1324,75,5.66,111.82,12.51,10,11,CÂ ceres,Extremadura,Casatejada,6803.717,699.5,9.73,6803.72,PT Navalmoral,3.4,2.28,5.68
Casar de Palomero,1378,1277,101,7.91,36.91,37.33,10,11,CÂ ceres,Extremadura,Casar de Palomero,8043.435,689.0,11.67,8043.44,PT Nuñomoral,4.09,8.42,12.5
Jerte,1332,1320,12,0.91,58.95,22.6,10,11,CÂ ceres,Extremadura,Jerte,3655.685,666.0,5.49,3655.69,PT Cabezuela del valle,1.92,7.36,9.28
Almaraz,1321,1354,-33,-2.44,33.91,38.96,10,11,CÂ ceres,Extremadura,Almaraz,10836.809,660.5,16.41,10836.81,PT Navalmoral,5.74,2.28,8.02
Majadas,1297,1311,-14,-1.07,51.96,24.96,10,11,CÂ ceres,Extremadura,Majadas,6502.775,648.5,10.03,6502.77,PT Jaraiz,3.51,6.4,9.91
Ca¤averal,1284,1309,-25,-1.91,86.48,14.85,10,11,CÂ ceres,Extremadura,CaÂ¤averal,1032.478,642.0,1.61,1032.48,PT Cañaveral,0.56,9.98,10.54
Rosalejo,1284,1472,-188,-12.77,41.82,30.7,10,11,CÂ ceres,Extremadura,Rosalejo,8652.195,642.0,13.48,8652.2,PT Navalmoral,4.72,2.28,6.99
Caminomorisco,1258,1269,-11,-0.87,147.06,8.55,10,11,CÂ ceres,Extremadura,Caminomorisco,6538.533,629.0,10.4,6538.53,PT Nuñomoral,3.64,8.42,12.06
Riolobos,1257,1372,-115,-8.38,49.49,25.4,10,11,CÂ ceres,Extremadura,Riolobos,9758.719,628.5,15.53,9758.72,PT Cañaveral,5.43,9.98,15.41
Casta¤ar de Ibor,1225,1205,20,1.66,146.97,8.34,10,11,CÂ ceres,Extremadura,CastaÂ¤ar de Ibor,655.875,612.5,1.07,655.88,PT Castañar de Ibor,0.37,11.0,11.37
Tornavacas,1181,1285,-104,-8.09,76.6,15.42,10,11,CÂ ceres,Extremadura,Tornavacas,7054.086,590.5,11.95,7054.09,PT Cabezuela del valle,4.18,7.36,11.54
Torrecillas de la Tiesa,1179,1156,23,1.99,139.55,8.45,10,11,CÂ ceres,Extremadura,Torrecillas de la Tiesa,7792.159,589.5,13.22,7792.16,PT Trujillo,4.63,4.19,8.81
"Pesga, La",1123,1168,-45,-3.85,19.88,56.49,10,11,CÂ ceres,Extremadura,"Pesga, La",4203.183,561.5,7.49,4203.18,PT Nuñomoral,2.62,8.42,11.04
Carcaboso,1108,1041,67,6.44,20.29,54.61,10,11,CÂ ceres,Extremadura,Carcaboso,4863.451,554.0,8.78,4863.45,PT Plasencia,3.07,1.6,4.67
Garganta la Olla,1062,1153,-91,-7.89,48.06,22.1,10,11,CÂ ceres,Extremadura,Garganta la Olla,4814.969,531.0,9.07,4814.97,PT Jaraiz,3.17,6.4,9.58
