NOMBRE,HBT,HBT5,INC,PORC,KM2,Densidad,CP,CA,PROVIN,AUTONOM,CAPITAL,Tnkm,Prod,Dist_km,Tn_km,Planta,C_Trans,C_Trat,C_Tot
Torremocha,1038,1141,-103,-9.03,63.83,16.26,10,11,CÂ ceres,Extremadura,Torremocha,6652.489,519.0,12.82,6652.49,PT Montanchez,4.49,2.58,7.06
Eljas,1033,1142,-109,-9.54,32.55,31.74,10,11,CÂ ceres,Extremadura,Eljas,12627.969,516.5,24.45,12627.97,PT Moraleja,8.56,4.56,13.12
Campo Lugar,1030,1149,-119,-10.36,73.06,14.1,10,11,CÂ ceres,Extremadura,Campo Lugar,15044.216,515.0,29.21,15044.22,PT Logrosán,10.22,3.85,14.08
Al¡a,1021,1210,-189,-15.62,599.51,1.7,10,11,CÂ ceres,Extremadura,AlÂ¡a,13359.332,510.5,26.17,13359.33,PT Logrosán,9.16,3.85,13.01
Arroyomolinos,999,946,53,5.6,115.12,8.68,10,11,CÂ ceres,Extremadura,Arroyomolinos,2522.424,499.5,5.05,2522.42,PT Montanchez,1.77,2.58,4.34
Monroy,994,994,0,0.0,204.45,4.86,10,11,CÂ ceres,Extremadura,Monroy,10816.077,497.0,21.76,10816.08,PT Serradilla,7.62,19.49,27.11
"Torno, El",988,939,49,5.22,22.26,44.38,10,11,CÂ ceres,Extremadura,"Torno, El",6771.712,494.0,13.71,6771.71,PT Cabezuela del valle,4.8,7.36,12.16
"Cumbre, La",982,1049,-67,-6.39,113.52,8.65,10,11,CÂ ceres,Extremadura,"Cumbre, La",6821.064,491.0,13.89,6821.06,PT Trujillo,4.86,4.19,9.05
Hoyos,976,981,-5,-0.51,15.09,64.68,10,11,CÂ ceres,Extremadura,Hoyos,7095.113,488.0,14.54,7095.11,PT Moraleja,5.09,4.56,9.65
Mohedas de Granadilla,976,1071,-95,-8.87,58.72,16.62,10,11,CÂ ceres,Extremadura,Mohedas de Granadilla,6603.985,488.0,13.53,6603.99,PT Nuñomoral,4.74,8.42,13.15
Perales del Puerto,970,992,-22,-2.22,36.28,26.74,10,11,CÂ ceres,Extremadura,Perales del Puerto,5744.289,485.0,11.84,5744.29,PT Moraleja,4.15,4.56,8.71
Talav n,923,928,-5,-0.54,98.48,9.37,10,11,CÂ ceres,Extremadura,TalavÂ n,5301.264,461.5,11.49,5301.26,PT Cañaveral,4.02,9.98,14.0
San Mart¡n de Trevejo,916,949,-33,-3.48,24.76,37.0,10,11,CÂ ceres,Extremadura,San MartÂ¡n de Trevejo,9811.414,458.0,21.42,9811.41,PT Cadalso,7.5,11.02,18.51
Cuacos de Yuste,915,961,-46,-4.79,52.63,17.39,10,11,CÂ ceres,Extremadura,Cuacos de Yuste,3143.36,457.5,6.87,3143.36,PT Jarandilla,2.4,5.28,7.69
Tejeda de Tiétar,887,987,-100,-10.13,52.83,16.79,10,11,CÂ ceres,Extremadura,Tejeda de Tiâ€štar,4595.259,443.5,10.36,4595.26,PT Jaraiz,3.63,6.4,10.03
Aceh£che,852,883,-31,-3.51,91.06,9.36,10,11,CÂ ceres,Extremadura,AcehÂ£che,5267.598,426.0,12.37,5267.6,PT Ceclavín,4.33,12.12,16.45
Escurial,851,897,-46,-5.13,100.71,8.45,10,11,CÂ ceres,Extremadura,Escurial,10991.693,425.5,25.83,10991.69,PT Montanchez,9.04,2.58,11.62
Garciaz,851,926,-75,-8.1,150.28,5.66,10,11,CÂ ceres,Extremadura,Garciaz,6724.356,425.5,15.8,6724.36,PT Logrosán,5.53,3.85,9.38
Membr¡o,851,890,-39,-4.38,207.74,4.1,10,11,CÂ ceres,Extremadura,MembrÂ¡o,8346.508,425.5,19.62,8346.51,PT Valencia de Alcántara,6.87,3.44,10.31
Deleitosa,838,842,-4,-0.48,144.21,5.81,10,11,CÂ ceres,Extremadura,Deleitosa,7843.562,419.0,18.72,7843.56,PT Castañar de Ibor,6.55,11.0,17.55
Santib ¤ez el Bajo,829,922,-93,-10.09,46.15,17.96,10,11,CÂ ceres,Extremadura,SantibÂ Â¤ez el Bajo,7227.416,414.5,17.44,7227.42,PT Montehermoso,6.1,6.08,12.18
Saucedilla,804,702,102,14.53,60.41,13.31,10,11,CÂ ceres,Extremadura,Saucedilla,5062.339,402.0,12.59,5062.34,PT Navalmoral,4.41,2.28,6.69
Aldeanueva del Camino,800,858,-58,-6.76,20.05,39.9,10,11,CÂ ceres,Extremadura,Aldeanueva del Camino,236.267,400.0,0.59,236.27,PT Aldeanueva del Camino,0.21,7.37,7.57
Albal,798,878,-80,-9.11,38.49,20.73,10,11,CÂ ceres,Extremadura,AlbalÂ ,1220.695,399.0,3.06,1220.7,PT Montanchez,1.07,2.58,3.65
Aldeacentenera,774,889,-115,-12.94,110.56,7.0,10,11,CÂ ceres,Extremadura,Aldeacentenera,7665.328,387.0,19.81,7665.33,PT Trujillo,6.93,4.19,11.12
Casas del Monte,766,890,-124,-13.93,27.61,27.74,10,11,CÂ ceres,Extremadura,Casas del Monte,2872.244,383.0,7.5,2872.24,PT Aldeanueva del Camino,2.62,7.37,9.99
Valdeobispo,761,786,-25,-3.18,42.1,18.08,10,11,CÂ ceres,Extremadura,Valdeobispo,4050.249,380.5,10.64,4050.25,PT Montehermoso,3.73,6.08,9.81
Holguera,758,785,-27,-3.44,37.19,20.38,10,11,CÂ ceres,Extremadura,Holguera,4587.398,379.0,12.1,4587.4,PT Cañaveral,4.24,9.98,14.22
Mirabel,730,751,-21,-2.8,49.3,14.81,10,11,CÂ ceres,Extremadura,Mirabel,3814.396,365.0,10.45,3814.4,PT Serradilla,3.66,19.49,23.15
Aldea del Cano,721,742,-21,-2.83,28.69,25.13,10,11,CÂ ceres,Extremadura,Aldea del Cano,5117.761,360.5,14.2,5117.76,PT Montanchez,4.97,2.58,7.55
Ba¤os de Montemayor,703,672,31,4.61,21.98,31.98,10,11,CÂ ceres,Extremadura,BaÂ¤os de Montemayor,2862.377,351.5,8.14,2862.38,PT Aldeanueva del Camino,2.85,7.37,10.22
Navezuelas,698,729,-31,-4.25,59.99,11.64,10,11,CÂ ceres,Extremadura,Navezuelas,4569.759,349.0,13.09,4569.76,PT Castañar de Ibor,4.58,11.0,15.58
Casas de Mill n,690,723,-33,-4.56,152.91,4.51,10,11,CÂ ceres,Extremadura,Casas de MillÂ n,1627.681,345.0,4.72,1627.68,PT Cañaveral,1.65,9.98,11.63
Salorino,689,777,-88,-11.33,157.65,4.37,10,11,CÂ ceres,Extremadura,Salorino,7099.672,344.5,20.61,7099.67,PT Valencia de Alcántara,7.21,3.44,10.65
Torrecilla de los µngeles,687,723,-36,-4.98,43.29,15.87,10,11,CÂ ceres,Extremadura,Torrecilla de los Âµngeles,3740.802,343.5,10.89,3740.8,PT Cadalso,3.81,11.02,14.83
Acebo,685,724,-39,-5.39,57.02,12.01,10,11,CÂ ceres,Extremadura,Acebo,5171.514,342.5,15.1,5171.51,PT Cadalso,5.28,11.02,16.3
Santiago de Alc ntara,685,705,-20,-2.84,95.67,7.16,10,11,CÂ ceres,Extremadura,Santiago de AlcÂ ntara,7249.942,342.5,21.17,7249.94,PT Valencia de Alcántara,7.41,3.44,10.85
Pasar¢n de la Vera,677,698,-21,-3.01,38.97,17.37,10,11,CÂ ceres,Extremadura,PasarÂ¢n de la Vera,2207.715,338.5,6.52,2207.72,PT Jaraiz,2.28,6.4,8.68
Villamiel,675,633,42,6.64,73.09,9.24,10,11,CÂ ceres,Extremadura,Villamiel,6250.054,337.5,18.52,6250.05,PT Moraleja,6.48,4.56,11.05
Villar del Pedroso,673,765,-92,-12.03,242.4,2.78,10,11,CÂ ceres,Extremadura,Villar del Pedroso,7327.355,336.5,21.78,7327.35,PT Castañar de Ibor,7.62,11.0,18.62
Belv¡s de Monroy,670,616,54,8.77,44.98,14.9,10,11,CÂ ceres,Extremadura,BelvÂ¡s de Monroy,4926.542,335.0,14.71,4926.54,PT Navalmoral,5.15,2.28,7.43
Casas del Casta¤ar,639,666,-27,-4.05,24.63,25.94,10,11,CÂ ceres,Extremadura,Casas del CastaÂ¤ar,4070.721,319.5,12.74,4070.72,PT Cabezuela del valle,4.46,7.36,11.82
Torre de Santa Mar¡a,632,669,-37,-5.53,19.07,33.14,10,11,CÂ ceres,Extremadura,Torre de Santa MarÂ¡a,1730.587,316.0,5.48,1730.59,PT Montanchez,1.92,2.58,4.49
Guijo de Granadilla,625,683,-58,-8.49,73.03,8.56,10,11,CÂ ceres,Extremadura,Guijo de Granadilla,6518.603,312.5,20.86,6518.6,PT Plasencia,7.3,1.6,8.9
Torremenga,621,617,4,0.65,12.15,51.11,10,11,CÂ ceres,Extremadura,Torremenga,844.499,310.5,2.72,844.5,PT Jaraiz,0.95,6.4,7.35
Zarza de Mont nchez,619,608,11,1.81,36.82,16.81,10,11,CÂ ceres,Extremadura,Zarza de MontÂ nchez,3868.61,309.5,12.5,3868.61,PT Montanchez,4.37,2.58,6.95
Aceituna,617,645,-28,-4.34,40.08,15.39,10,11,CÂ ceres,Extremadura,Aceituna,2990.537,308.5,9.69,2990.54,PT Montehermoso,3.39,6.08,9.47
Torrej¢n el Rubio,614,602,12,1.99,221.88,2.77,10,11,CÂ ceres,Extremadura,TorrejÂ¢n el Rubio,3390.154,307.0,11.04,3390.15,PT Serradilla,3.86,19.49,23.36
Torrequemada,604,605,-1,-0.17,30.81,19.6,10,11,CÂ ceres,Extremadura,Torrequemada,4728.227,302.0,15.66,4728.23,PT Montanchez,5.48,2.58,8.06
Jaraicejo,590,634,-44,-6.94,177.48,3.32,10,11,CÂ ceres,Extremadura,Jaraicejo,5982.979,295.0,20.28,5982.98,PT Trujillo,7.1,4.19,11.29
Valverde de la Vera,588,614,-26,-4.23,46.95,12.52,10,11,CÂ ceres,Extremadura,Valverde de la Vera,3779.547,294.0,12.86,3779.55,PT Jarandilla,4.5,5.28,9.78
Torre de Don Miguel,568,619,-51,-8.24,11.55,49.18,10,11,CÂ ceres,Extremadura,Torre de Don Miguel,866.729,284.0,3.05,866.73,PT Cadalso,1.07,11.02,12.08
Pozuelo de Zarz¢n,564,599,-35,-5.84,47.43,11.89,10,11,CÂ ceres,Extremadura,Pozuelo de ZarzÂ¢n,2757.504,282.0,9.78,2757.5,PT Montehermoso,3.42,6.08,9.5
Villa del Campo,555,615,-60,-9.76,56.92,9.75,10,11,CÂ ceres,Extremadura,Villa del Campo,2667.962,277.5,9.61,2667.96,PT Montehermoso,3.36,6.08,9.45
Plasenzuela,538,556,-18,-3.24,36.67,14.67,10,11,CÂ ceres,Extremadura,Plasenzuela,5387.575,269.0,20.03,5387.58,PT Montanchez,7.01,2.58,9.59
Bohonal de Ibor,535,548,-13,-2.37,64.6,8.28,10,11,CÂ ceres,Extremadura,Bohonal de Ibor,4804.353,267.5,17.96,4804.35,PT Castañar de Ibor,6.29,11.0,17.28
Berzocana,528,525,3,0.57,133.59,3.95,10,11,CÂ ceres,Extremadura,Berzocana,3211.496,264.0,12.16,3211.5,PT Logrosán,4.26,3.85,8.11
Casares de las Hurdes,528,619,-91,-14.7,20.75,25.45,10,11,CÂ ceres,Extremadura,Casares de las Hurdes,2401.739,264.0,9.1,2401.74,PT Nuñomoral,3.18,8.42,11.6
Hern n-Pérez,518,504,14,2.78,35.76,14.49,10,11,CÂ ceres,Extremadura,HernÂ n-Pâ€šrez,1979.19,259.0,7.64,1979.19,PT Cadalso,2.67,11.02,13.69
Villanueva de la Sierra,514,588,-74,-12.59,43.62,11.78,10,11,CÂ ceres,Extremadura,Villanueva de la Sierra,3262.603,257.0,12.69,3262.6,PT Cadalso,4.44,11.02,15.46
Cadalso,506,564,-58,-10.28,7.35,68.84,10,11,CÂ ceres,Extremadura,Cadalso,157.479,253.0,0.62,157.48,PT Cadalso,0.22,11.02,11.23
Navalvillar de Ibor,504,452,52,11.5,55.53,9.08,10,11,CÂ ceres,Extremadura,Navalvillar de Ibor,1324.817,252.0,5.26,1324.82,PT Castañar de Ibor,1.84,11.0,12.84
Arroyomolinos de la Vera,497,558,-61,-10.93,23.19,21.43,10,11,CÂ ceres,Extremadura,Arroyomolinos de la Vera,2342.487,248.5,9.43,2342.49,PT Jaraiz,3.3,6.4,9.7
Cedillo,497,563,-66,-11.72,61.56,8.07,10,11,CÂ ceres,Extremadura,Cedillo,8511.421,248.5,34.25,8511.42,PT Valencia de Alcántara,11.99,3.44,15.43
"Garganta, La",490,574,-84,-14.63,24.08,20.35,10,11,CÂ ceres,Extremadura,"Garganta, La",2766.733,245.0,11.29,2766.73,PT Aldeanueva del Camino,3.95,7.37,11.32
Ibahernando,488,608,-120,-19.74,76.95,6.34,10,11,CÂ ceres,Extremadura,Ibahernando,4580.713,244.0,18.77,4580.71,PT Trujillo,6.57,4.19,10.76
Calzadilla,485,494,-9,-1.82,76.34,6.35,10,11,CÂ ceres,Extremadura,Calzadilla,2718.707,242.5,11.21,2718.71,PT Moraleja,3.92,4.56,8.49
Barrado,477,517,-40,-7.74,21.29,22.4,10,11,CÂ ceres,Extremadura,Barrado,3054.577,238.5,12.81,3054.58,PT Jaraiz,4.48,6.4,10.88
Casillas de Coria,470,498,-28,-5.62,61.97,7.58,10,11,CÂ ceres,Extremadura,Casillas de Coria,2201.467,235.0,9.37,2201.47,PT Moraleja,3.28,4.56,7.84
Villasbuenas de Gata,456,495,-39,-7.88,46.83,9.74,10,11,CÂ ceres,Extremadura,Villasbuenas de Gata,2157.901,228.0,9.46,2157.9,PT Cadalso,3.31,11.02,14.33
Valdelacasa de Tajo,455,534,-79,-14.79,72.9,6.24,10,11,CÂ ceres,Extremadura,Valdelacasa de Tajo,3755.729,227.5,16.51,3755.73,PT Castañar de Ibor,5.78,11.0,16.77
Abertura,454,506,-52,-10.28,62.71,7.24,10,11,CÂ ceres,Extremadura,Abertura,6172.623,227.0,27.19,6172.62,PT Trujillo,9.52,4.19,13.71
Palomero,452,513,-61,-11.89,20.27,22.3,10,11,CÂ ceres,Extremadura,Palomero,3914.366,226.0,17.32,3914.37,PT Nuñomoral,6.06,8.42,14.48
Serrej¢n,444,482,-38,-7.88,124.15,3.58,10,11,CÂ ceres,Extremadura,SerrejÂ¢n,5020.272,222.0,22.61,5020.27,PT Navalmoral,7.91,2.28,10.19
Hinojal,441,444,-3,-0.68,63.45,6.95,10,11,CÂ ceres,Extremadura,Hinojal,2044.474,220.5,9.27,2044.47,PT Cañaveral,3.25,9.98,13.23
Gargantilla,440,456,-16,-3.51,20.87,21.08,10,11,CÂ ceres,Extremadura,Gargantilla,370.176,220.0,1.68,370.18,PT Aldeanueva del Camino,0.59,7.37,7.95
Santib ¤ez el Alto,436,501,-65,-12.97,99.07,4.4,10,11,CÂ ceres,Extremadura,SantibÂ Â¤ez el Alto,1288.283,218.0,5.91,1288.28,PT Cadalso,2.07,11.02,13.08
Caba¤as del Castillo,423,521,-98,-18.81,105.27,4.02,10,11,CÂ ceres,Extremadura,CabaÂ¤as del Castillo,2436.354,211.5,11.52,2436.35,PT Castañar de Ibor,4.03,11.0,15.03
Robledillo de Trujillo,420,467,-47,-10.06,44.78,9.38,10,11,CÂ ceres,Extremadura,Robledillo de Trujillo,3607.065,210.0,17.18,3607.07,PT Montanchez,6.01,2.58,8.59
Cabezabellosa,418,453,-35,-7.73,33.56,12.46,10,11,CÂ ceres,Extremadura,Cabezabellosa,3251.524,209.0,15.56,3251.52,PT Aldeanueva del Camino,5.45,7.37,12.81
Morcillo,418,435,-17,-3.91,16.23,25.75,10,11,CÂ ceres,Extremadura,Morcillo,1211.769,209.0,5.8,1211.77,PT Montehermoso,2.03,6.08,8.11
Portaje,415,388,27,6.96,100.55,4.13,10,11,CÂ ceres,Extremadura,Portaje,895.855,207.5,4.32,895.86,PT Coria,1.51,4.76,6.27
Guijo de Santa B rbara,410,442,-32,-7.24,34.54,11.87,10,11,CÂ ceres,Extremadura,Guijo de Santa BÂ rbara,903.251,205.0,4.41,903.25,PT Jarandilla,1.54,5.28,6.82
Robledollano,402,390,12,3.08,61.74,6.51,10,11,CÂ ceres,Extremadura,Robledollano,1450.294,201.0,7.22,1450.29,PT Castañar de Ibor,2.53,11.0,13.52
Puerto de Santa Cruz,393,410,-17,-4.15,33.72,11.65,10,11,CÂ ceres,Extremadura,Puerto de Santa Cruz,3710.931,196.5,18.89,3710.93,PT Trujillo,6.61,4.19,10.8
Herreruela,386,408,-22,-5.39,113.72,3.39,10,11,CÂ ceres,Extremadura,Herreruela,3576.888,193.0,18.53,3576.89,PT Brozas,6.49,13.13,19.62
Valdastillas,380,332,48,14.46,8.1,46.91,10,11,CÂ ceres,Extremadura,Valdastillas,1736.691,190.0,9.14,1736.69,PT Cabezuela del valle,3.2,7.36,10.56
Cabrero,369,377,-8,-2.12,6.63,55.66,10,11,CÂ ceres,Extremadura,Cabrero,2146.095,184.5,11.63,2146.1,PT Cabezuela del valle,4.07,7.36,11.43
Herguijuela,366,372,-6,-1.61,41.97,8.72,10,11,CÂ ceres,Extremadura,Herguijuela,2718.274,183.0,14.85,2718.27,PT Trujillo,5.2,4.19,9.39
Talaveruela de la Vera,365,413,-48,-11.62,21.34,17.1,10,11,CÂ ceres,Extremadura,Talaveruela de la Vera,1969.813,182.5,10.79,1969.81,PT Jarandilla,3.78,5.28,9.06
"Granja, La",361,354,7,1.98,14.94,24.16,10,11,CÂ ceres,Extremadura,"Granja, La",1185.477,180.5,6.57,1185.48,PT Aldeanueva del Camino,2.3,7.37,9.66
"Aldea del Obispo, La",350,384,-34,-8.85,37.85,9.25,10,11,CÂ ceres,Extremadura,"Aldea del Obispo, La",1726.582,175.0,9.87,1726.58,PT Trujillo,3.45,4.19,7.64
Casas de Don G¢mez,347,348,-1,-0.29,31.16,11.14,10,11,CÂ ceres,Extremadura,Casas de Don GÂ¢mez,1199.468,173.5,6.91,1199.47,PT Moraleja,2.42,4.56,6.98
Aldehuela de Jerte,338,352,-14,-3.98,11.76,28.74,10,11,CÂ ceres,Extremadura,Aldehuela de Jerte,1635.795,169.0,9.68,1635.8,PT Plasencia,3.39,1.6,4.98
"Gordo, El",338,296,42,14.19,78.6,4.3,10,11,CÂ ceres,Extremadura,"Gordo, El",4106.46,169.0,24.3,4106.46,PT Navalmoral,8.5,2.28,10.78
Carrascalejo,337,397,-60,-15.11,48.48,6.95,10,11,CÂ ceres,Extremadura,Carrascalejo,3086.574,168.5,18.32,3086.57,PT Castañar de Ibor,6.41,11.0,17.41
Mata de Alc ntara,330,330,0,0.0,33.5,9.85,10,11,CÂ ceres,Extremadura,Mata de AlcÂ ntara,2164.224,165.0,13.12,2164.22,PT Ceclavín,4.59,12.12,16.72
Fresnedoso de Ibor,329,350,-21,-6.0,54.66,6.02,10,11,CÂ ceres,Extremadura,Fresnedoso de Ibor,1526.005,164.5,9.28,1526.0,PT Castañar de Ibor,3.25,11.0,14.24
Abad¡a,325,288,37,12.85,45.08,7.21,10,11,CÂ ceres,Extremadura,AbadÂ¡a,717.06,162.5,4.41,717.06,PT Aldeanueva del Camino,1.54,7.37,8.91
Santa Cruz de Paniagua,315,390,-75,-19.23,83.81,3.76,10,11,CÂ ceres,Extremadura,Santa Cruz de Paniagua,2223.462,157.5,14.12,2223.46,PT Montehermoso,4.94,6.08,11.02
Villames¡as,311,348,-37,-10.63,46.47,6.69,10,11,CÂ ceres,Extremadura,VillamesÂ¡as,4024.34,155.5,25.88,4024.34,PT Montanchez,9.06,2.58,11.63
Santa Marta de Magasca,309,261,48,18.39,39.68,7.79,10,11,CÂ ceres,Extremadura,Santa Marta de Magasca,3277.449,154.5,21.21,3277.45,PT Trujillo,7.42,4.19,11.61
Santiago del Campo,307,318,-11,-3.46,73.33,4.19,10,11,CÂ ceres,Extremadura,Santiago del Campo,2072.772,153.5,13.5,2072.77,PR CÁCERES,4.73,0.83,5.56
Robledillo de la Vera,305,324,-19,-5.86,12.83,23.77,10,11,CÂ ceres,Extremadura,Robledillo de la Vera,780.168,152.5,5.12,780.17,PT Jarandilla,1.79,5.28,7.07
Salvatierra de Santiago,302,386,-84,-21.76,33.4,9.04,10,11,CÂ ceres,Extremadura,Salvatierra de Santiago,2197.263,151.0,14.55,2197.26,PT Montanchez,5.09,2.58,7.67
Santa Ana,299,335,-36,-10.75,34.99,8.55,10,11,CÂ ceres,Extremadura,Santa Ana,2695.251,149.5,18.03,2695.25,PT Montanchez,6.31,2.58,8.89
Peraleda de San Rom n,294,361,-67,-18.56,61.9,4.75,10,11,CÂ ceres,Extremadura,Peraleda de San RomÂ n,1899.794,147.0,12.92,1899.79,PT Castañar de Ibor,4.52,11.0,15.52
Oliva de Plasencia,286,265,21,7.92,88.73,3.22,10,11,CÂ ceres,Extremadura,Oliva de Plasencia,1726.521,143.0,12.07,1726.52,PT Plasencia,4.23,1.6,5.82
Herrera de Alc ntara,285,295,-10,-3.39,121.61,2.34,10,11,CÂ ceres,Extremadura,Herrera de AlcÂ ntara,4107.297,142.5,28.82,4107.3,PT Valencia de Alcántara,10.09,3.44,13.53
Santa Cruz de la Sierra,270,323,-53,-16.41,44.6,6.05,10,11,CÂ ceres,Extremadura,Santa Cruz de la Sierra,2262.956,135.0,16.76,2262.96,PT Trujillo,5.87,4.19,10.05
Portezuelo,268,304,-36,-11.84,126.11,2.13,10,11,CÂ ceres,Extremadura,Portezuelo,1201.822,134.0,8.97,1201.82,PT Cañaveral,3.14,9.98,13.12
Alcollar¡n,266,310,-44,-14.19,79.92,3.33,10,11,CÂ ceres,Extremadura,AlcollarÂ¡n,3218.764,133.0,24.2,3218.76,PT Logrosán,8.47,3.85,12.32
Viandar de la Vera,266,303,-37,-12.21,28.0,9.5,10,11,CÂ ceres,Extremadura,Viandar de la Vera,1236.432,133.0,9.3,1236.43,PT Jarandilla,3.25,5.28,8.54
Millanes,257,192,65,33.85,17.61,14.59,10,11,CÂ ceres,Extremadura,Millanes,1499.066,128.5,11.67,1499.07,PT Navalmoral,4.08,2.28,6.36
Marchagaz,248,294,-46,-15.65,9.47,26.19,10,11,CÂ ceres,Extremadura,Marchagaz,1857.742,124.0,14.98,1857.74,PT Nuñomoral,5.24,8.42,13.66
Rebollar,237,227,10,4.41,11.51,20.59,10,11,CÂ ceres,Extremadura,Rebollar,1106.571,118.5,9.34,1106.57,PT Cabezuela del valle,3.27,7.36,10.63
Guijo de Coria,231,259,-28,-10.81,74.75,3.09,10,11,CÂ ceres,Extremadura,Guijo de Coria,1015.263,115.5,8.79,1015.26,PT Montehermoso,3.08,6.08,9.16
Valdemorales,230,248,-18,-7.26,9.89,23.26,10,11,CÂ ceres,Extremadura,Valdemorales,1092.884,115.0,9.5,1092.88,PT Montanchez,3.33,2.58,5.9
Villar de Plasencia,229,248,-19,-7.66,24.99,9.16,10,11,CÂ ceres,Extremadura,Villar de Plasencia,1887.813,114.5,16.49,1887.81,PT Aldeanueva del Camino,5.77,7.37,13.14
Ladrillar,228,275,-47,-17.09,53.03,4.3,10,11,CÂ ceres,Extremadura,Ladrillar,973.628,114.0,8.54,973.63,PT Nuñomoral,2.99,8.42,11.41
Carbajo,227,251,-24,-9.56,27.94,8.12,10,11,CÂ ceres,Extremadura,Carbajo,2386.253,113.5,21.02,2386.25,PT Valencia de Alcántara,7.36,3.44,10.8
Romangordo,224,165,59,35.76,39.07,5.73,10,11,CÂ ceres,Extremadura,Romangordo,2764.484,112.0,24.68,2764.48,PT Navalmoral,8.64,2.28,10.92
Casas de Don Antonio,213,216,-3,-1.39,31.34,6.8,10,11,CÂ ceres,Extremadura,Casas de Don Antonio,1089.444,106.5,10.23,1089.44,PT Montanchez,3.58,2.58,6.16
Valdeh£ncar,212,207,5,2.42,25.6,8.28,10,11,CÂ ceres,Extremadura,ValdehÂ£ncar,1541.04,106.0,14.54,1541.04,PT Navalmoral,5.09,2.28,7.37
Conquista de la Sierra,210,226,-16,-7.08,41.77,5.03,10,11,CÂ ceres,Extremadura,Conquista de la Sierra,1919.911,105.0,18.28,1919.91,PT Trujillo,6.4,4.19,10.59
Piedras Albas,207,162,45,27.78,4.54,45.59,10,11,CÂ ceres,Extremadura,Piedras Albas,1448.104,103.5,13.99,1448.1,PT Ceclavín,4.9,12.12,17.02
Collado,201,237,-36,-15.19,44.94,4.47,10,11,CÂ ceres,Extremadura,Collado,367.368,100.5,3.66,367.37,PT Jaraiz,1.28,6.4,7.68
Botija,199,153,46,30.07,18.82,10.57,10,11,CÂ ceres,Extremadura,Botija,1522.781,99.5,15.3,1522.78,PT Montanchez,5.36,2.58,7.93
Huélaga,196,192,4,2.08,10.73,18.27,10,11,CÂ ceres,Extremadura,Huâ€šlaga,396.717,98.0,4.05,396.72,PT Moraleja,1.42,4.56,5.98
Cerezo,190,203,-13,-6.4,18.14,10.47,10,11,CÂ ceres,Extremadura,Cerezo,1633.044,95.0,17.19,1633.04,PT Nuñomoral,6.02,8.42,14.43
Descargamar¡a,190,277,-87,-31.41,52.92,3.59,10,11,CÂ ceres,Extremadura,DescargamarÂ¡a,848.001,95.0,8.93,848.0,PT Cadalso,3.12,11.02,14.14
Segura de Toro,186,193,-7,-3.63,14.73,12.63,10,11,CÂ ceres,Extremadura,Segura de Toro,452.051,93.0,4.86,452.05,PT Aldeanueva del Camino,1.7,7.37,9.07
Toril,179,222,-43,-19.37,149.76,1.2,10,11,CÂ ceres,Extremadura,Toril,1360.896,89.5,15.21,1360.9,PT Jaraiz,5.32,6.4,11.72
Mesas de Ibor,173,206,-33,-16.02,48.75,3.55,10,11,CÂ ceres,Extremadura,Mesas de Ibor,1502.946,86.5,17.38,1502.95,PT Castañar de Ibor,6.08,11.0,17.08
Pescueza,157,176,-19,-10.8,52.06,3.02,10,11,CÂ ceres,Extremadura,Pescueza,885.293,78.5,11.28,885.29,PT Coria,3.95,4.76,8.71
Villa del Rey,157,143,14,9.79,57.29,2.74,10,11,CÂ ceres,Extremadura,Villa del Rey,564.908,78.5,7.2,564.91,PT Brozas,2.52,13.13,15.65
Jarilla,154,148,6,4.05,28.47,5.41,10,11,CÂ ceres,Extremadura,Jarilla,937.358,77.0,12.17,937.36,PT Aldeanueva del Camino,4.26,7.37,11.63
Casas de Miravete,145,194,-49,-25.26,50.16,2.89,10,11,CÂ ceres,Extremadura,Casas de Miravete,2004.997,72.5,27.66,2005.0,PT Navalmoral,9.68,2.28,11.96
Gargera,132,167,-35,-20.96,51.6,2.56,10,11,CÂ ceres,Extremadura,GargÂera,1031.686,66.0,15.63,1031.69,PT Jaraiz,5.47,6.4,11.87
Robledillo de Gata,124,154,-30,-19.48,31.07,3.99,10,11,CÂ ceres,Extremadura,Robledillo de Gata,697.451,62.0,11.25,697.45,PT Cadalso,3.94,11.02,14.95
Valdeca¤as de Tajo,119,200,-81,-40.5,18.81,6.33,10,11,CÂ ceres,Extremadura,ValdecaÂ¤as de Tajo,1276.794,59.5,21.46,1276.79,PT Navalmoral,7.51,2.28,9.79
Pedroso de Acim,115,119,-4,-3.36,33.23,3.46,10,11,CÂ ceres,Extremadura,Pedroso de Acim,288.976,57.5,5.03,288.98,PT Cañaveral,1.76,9.98,11.74
Berrocalejo,105,119,-14,-11.76,14.28,7.35,10,11,CÂ ceres,Extremadura,Berrocalejo,1165.782,52.5,22.21,1165.78,PT Castañar de Ibor,7.77,11.0,18.77
Garv¡n,105,108,-3,-2.78,38.27,2.74,10,11,CÂ ceres,Extremadura,GarvÂ¡n,646.765,52.5,12.32,646.77,PT Castañar de Ibor,4.31,11.0,15.31
Higuera,100,100,0,0.0,40.53,2.47,10,11,CÂ ceres,Extremadura,Higuera,1157.328,50.0,23.15,1157.33,PT Castañar de Ibor,8.1,11.0,19.1
Benquerencia,98,103,-5,-4.85,13.31,7.36,10,11,CÂ ceres,Extremadura,Benquerencia,572.854,49.0,11.69,572.85,PT Montanchez,4.09,2.58,6.67
